Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
13,250	1,742	-21,520	-22,462	0,0416	-0,514	-0,536	13,250	-4,777	-10,980	67,073	-0,1140	-0,262	1,601	13,250	7,015	-30,034	-78,540	0,1675	-0,717	-1,875
13,300	0,638	-22,290	-8,639	0,0152	-0,532	-0,206	13,300	-5,240	-7,493	71,000	-0,1251	-0,179	1,695	13,300	5,416	-33,599	-62,675	0,1293	-0,802	-1,496
13,350	-0,487	-22,384	4,241	-0,0116	-0,534	0,101	13,350	-5,526	-3,880	71,628	-0,1319	-0,093	1,710	13,350	3,655	-36,301	-42,097	0,0873	-0,867	-1,005
13,400	-1,601	-21,866	16,650	-0,0382	-0,522	0,398	13,400	-5,628	-0,330	68,644	-0,1344	-0,008	1,639	13,400	1,786	-37,809	-19,164	0,0426	-0,903	-0,458
13,450	-2,673	-20,719	29,688	-0,0638	-0,495	0,709	13,450	-5,559	2,985	63,931	-0,1327	0,071	1,526	13,450	-0,126	-38,218	1,885	-0,0030	-0,912	0,045
13,500	-3,673	-18,897	42,569	-0,0877	-0,451	1,016	13,500	-5,330	6,063	58,591	-0,1272	0,145	1,399	13,500	-2,036	-37,621	23,876	-0,0486	-0,898	0,570
13,550	-4,563	-16,462	53,878	-0,1089	-0,393	1,286	13,550	-4,953	8,844	52,150	-0,1182	0,211	1,245	13,550	-3,888	-35,830	47,595	-0,0928	-0,855	1,136
13,600	-5,319	-13,509	63,303	-0,1270	-0,323	1,511	13,600	-4,445	11,278	45,396	-0,1061	0,269	1,084	13,600	-5,619	-32,861	68,958	-0,1341	-0,785	1,646
13,650	-5,914	-10,132	70,215	-0,1412	-0,242	1,676	13,650	-3,825	13,383	38,799	-0,0913	0,320	0,926	13,650	-7,174	-28,934	87,493	-0,1713	-0,691	2,089
13,700	-6,332	-6,487	74,456	-0,1512	-0,155	1,778	13,700	-3,107	15,158	31,416	-0,0742	0,362	0,750	13,700	-8,512	-24,112	105,715	-0,2032	-0,576	2,524
13,750	-6,563	-2,686	76,812	-0,1567	-0,064	1,834	13,750	-2,309	16,525	23,248	-0,0551	0,395	0,555	13,750	-9,585	-18,363	122,051	-0,2288	-0,438	2,914
13,800	-6,600	1,194	76,655	-0,1576	0,029	1,830	13,800	-1,455	17,483	15,080	-0,0347	0,417	0,360	13,800	-10,348	-11,907	132,889	-0,2470	-0,284	3,172
13,850	-6,443	4,979	73,513	-0,1538	0,119	1,755	13,850	-0,561	18,033	6,912	-0,0134	0,430	0,165	13,850	-10,776	-5,074	135,874	-0,2572	-0,121	3,244
13,900	-6,103	8,545	68,801	-0,1457	0,204	1,643	13,900	0,349	18,174	-1,257	0,0083	0,434	-0,030	13,900	-10,856	1,681	131,947	-0,2592	0,040	3,150
13,950	-5,589	11,860	62,832	-0,1334	0,283	1,500	13,950	1,257	17,907	-10,210	0,0300	0,428	-0,244	13,950	-10,608	8,121	124,878	-0,2532	0,194	2,981
14,000	-4,917	14,828	54,821	-0,1174	0,354	1,309	14,000	2,139	17,153	-20,263	0,0511	0,410	-0,484	14,000	-10,044	14,169	115,768	-0,2398	0,338	2,764
14,050	-4,106	17,342	44,925	-0,0980	0,414	1,072	14,050	2,972	15,881	-30,473	0,0709	0,379	-0,727	14,050	-9,191	19,698	104,301	-0,2194	0,470	2,490
14,100	-3,182	19,321	33,615	-0,0760	0,461	0,802	14,100	3,728	14,106	-40,212	0,0890	0,337	-0,960	14,100	-8,074	24,599	90,635	-0,1927	0,587	2,164
14,150	-2,174	20,703	21,363	-0,0519	0,494	0,510	14,150	4,383	11,860	-49,166	0,1046	0,283	-1,174	14,150	-6,731	28,761	76,184	-0,1607	0,687	1,819
14,200	-1,112	21,457	9,582	-0,0265	0,512	0,229	14,200	4,913	9,189	-56,549	0,1173	0,219	-1,350	14,200	-5,198	32,217	61,261	-0,1241	0,769	1,463
14,250	-0,028	21,661	-1,728	-6,7500E-4	0,517	-0,041	14,250	5,301	6,205	-62,047	0,1266	0,148	-1,481	14,250	-3,509	34,887	42,254	-0,0838	0,833	1,009
14,300	1,054	21,284	-14,137	0,0252	0,508	-0,338	14,300	5,534	2,985	-65,502	0,1321	0,071	-1,564	14,300	-1,709	36,443	19,949	-0,0408	0,870	0,476
14,350	2,100	20,248	-26,704	0,0501	0,483	-0,637	14,350	5,600	-0,346	-66,445	0,1337	-0,008	-1,586	14,350	0,135	36,882	-0,471	0,0032	0,880	-0,011
14,400	3,079	18,614	-38,013	0,0735	0,444	-0,907	14,400	5,499	-3,660	-65,188	0,1313	-0,087	-1,556	14,400	1,979	36,395	-20,577	0,0473	0,869	-0,491
14,450	3,962	16,446	-47,909	0,0946	0,393	-1,144	14,450	5,234	-6,864	-61,418	0,1249	-0,164	-1,466	14,450	3,775	34,825	-43,040	0,0901	0,831	-1,028
14,500	4,723	13,823	-55,920	0,1128	0,330	-1,335	14,500	4,813	-9,802	-55,449	0,1149	-0,234	-1,324	14,500	5,462	32,091	-63,146	0,1304	0,766	-1,508
14,550	5,344	10,854	-62,361	0,1276	0,259	-1,489	14,550	4,254	-12,409	-47,752	0,1015	-0,296	-1,140	14,550	6,984	28,510	-78,383	0,1667	0,681	-1,871
14,600	5,809	7,587	-67,230	0,1387	0,181	-1,605	14,600	3,572	-14,577	-38,013	0,0853	-0,348	-0,908	14,600	8,313	24,253	-92,677	0,1985	0,579	-2,212
14,650	6,103	4,131	-69,586	0,1457	0,099	-1,661	14,650	2,796	-16,211	-26,704	0,0667	-0,387	-0,638	14,650	9,409	19,242	-106,029	0,2246	0,459	-2,531
14,700	6,222	0,628	-69,586	0,1485	0,015	-1,661	14,700	1,951	-17,247	-14,451	0,0466	-0,412	-0,345	14,700	10,237	13,650	-115,611	0,2444	0,326	-2,760
14,750	6,165	-2,827	-67,701	0,1472	-0,068	-1,616	14,750	1,071	-17,656	-2,356	0,0256	-0,422	-0,056	14,750	10,774	7,681	-121,108	0,2572	0,183	-2,891
14,800	5,939	-6,142	-64,560	0,1418	-0,147	-1,541	14,800	0,185	-17,483	8,954	0,0044	-0,417	0,214	14,800	11,005	1,539	-123,151	0,2627	0,037	-2,940
14,850	5,551	-9,283	-60,162	0,1325	-0,222	-1,436	14,850	-0,677	-16,760	18,692	-0,0162	-0,400	0,446	14,850	10,928	-4,634	-122,051	0,2609	-0,111	-2,914
14,900	5,011	-12,158	-54,035	0,1196	-0,290	-1,290	14,900	-1,491	-15,614	27,018	-0,0356	-0,373	0,645	14,900	10,542	-10,666	-117,496	0,2517	-0,255	-2,805
14,950	4,335	-14,687	-46,496	0,1035	-0,351	-1,110	14,950	-2,238	-14,059	34,872	-0,0534	-0,336	0,833	14,950	9,861	-16,383	-110,113	0,2354	-0,391	-2,629
15,000	3,542	-16,808	-37,699	0,0846	-0,401	-0,900	15,000	-2,897	-12,127	41,312	-0,0692	-0,290	0,986	15,000	8,903	-21,677	-98,960	0,2126	-0,518	-2,362
15,050	2,655	-18,457	-27,489	0,0634	-0,441	-0,656	15,050	-3,451	-9,927	45,710	-0,0824	-0,237	1,091	15,050	7,694	-26,279	-85,137	0,1837	-0,627	-2,032
15,100	1,696	-19,556	-15,865	0,0405	-0,467	-0,379	15,100	-3,889	-7,556	48,538	-0,0929	-0,180	1,159	15,100	6,275	-30,191	-71,471	0,1498	-0,721	-1,706
15,150	0,699	-20,043	-3,770	0,0167	-0,479	-0,090	15,150	-4,207	-5,074	50,737	-0,1004	-0,121	1,211	15,150	4,675	-33,427	-54,821	0,1116	-0,798	-1,309
15,200	-0,308	-19,933	7,226	-0,0073	-0,476	0,173	15,200	-4,397	-2,482	51,208	-0,1050	-0,059	1,223	15,200	2,933	-35,673	-33,144	0,0700	-0,852	-0,791
15,250	-1,294	-19,321	17,279	-0,0309	-0,461	0,413	15,250	-4,455	0,047	49,323	-0,1064	0,001	1,177	15,250	1,107	-36,741	-11,467	0,0264	-0,877	-0,274
15,300	-2,240	-18,206	28,117	-0,0535	-0,435	0,671	15,300	-4,392	2,450	47,281	-0,1049	0,058	1,129	15,300	-0,741	-36,819	8,325	-0,0177	-0,879	0,199
15,350	-3,115	-16,509	38,642	-0,0744	-0,394	0,922	15,350	-4,210	4,775	45,396	-0,1005	0,114	1,084	15,350	-2,575	-35,908	30,316	-0,0615	-0,857	0,724
15,400	-3,891	-14,341	47,281	-0,0929	-0,342	1,129	15,400	-3,914	6,990	43,040	-0,0934	0,167	1,028	15,400	-4,332	-33,788	53,093	-0,1034	-0,807	1,267
15,450	-4,549	-11,781	54,664	-0,1086	-0,281	1,305	15,450	-3,511	9,079	40,055	-0,0838	0,217	0,956	15,450	-5,953	-30,599	72,414	-0,1421	-0,731	1,729
15,500	-5,069	-8,875	60,476	-0,1210	-0,212	1,444	15,500	-3,007	10,996	36,128	-0,0718	0,263	0,862	15,500	-7,392	-26,546	90,007	-0,1765	-0,634	2,149
15,550	-5,437	-5,733	63,774	-0,1298	-0,137	1,522	15,550	-2,411	12,692	30,945	-0,0576	0,303	0,739	15,550	-8,608	-21,598	107,443	-0,2055	-0,516	2,565
15,600	-5,642	-2,498	64,560	-0,1347	-0,060	1,541	15,600	-1,737	14,090	24,190	-0,0415	0,336	0,578	15,600	-9,552	-15,802	122,051	-0,2280	-0,377	2,914
15,650	-5,686	0,723	63,303	-0,1357	0,017	1,511	15,650	-1,002	15,111	15,865	-0,0239	0,361	0,379	15,650	-10,188	-9,393	130,533	-0,2432	-0,224	3,116
15,700	-5,570	3,833	60,162	-0,1330	0,092	1,436	15,700	-0,226	15,677	6,597	-0,0054	0,374	0,158	15,700	-10,491	-2,749	131,633	-0,2505	-0,066	3,143
15,750	-5,303	6,739	55,449	-0,1266	0,161	1,324	15,750	0,565	15,771	-2,985	0,0135	0,377	-0,071	15,750	-10,463	3,770	126,292	-0,2498	0,090	3,015
15,800	-4,896	9,378	49,637	-0,1169	0,224	1,185	15,800	1,351	15,378	-13,666	0,0322	0,367	-0,326	15,800	-10,114	9,880	117,181	-0,2415	0,236	2,797
15,850	-4,365	11,702	42,726	-0,1042	0,279	1,020	15,850	2,103	14,404	-24,819	0,0502	0,344	-0,592	15,850	-9,475	15,488	107,600	-0,2262	0,370	2,569
15,900	-3,726	13,650	34,558	-0,0889	0,326	0,825	15,900	2,791	12,896	-34,715	0,0666	0,308	-0,829	15,900	-8,566	20,640	96,761	-0,2045	0,493	2,310
15,950	-3,000	15,158	24,976	-0,0716	0,362	0,596	15,950	3,393	10,933	-43,354	0,0810	0,261	-1,035	15,950	-7,411	25,164	83,409	-0,1769	0,601	1,991
16,000	-2,210	16,148	14,765	-0,0528	0,386	0,352	16,000	3,885	8,561	-50,266	0,0927	0,204	-1,200	16,000	-6,049	28,981	69,586	-0,1444	0,692	1,661
16,050	-1,385	16,635	5,027	-0,0331	0,397	0,120	16,050	4,249	5,906	-54,664	0,1014	0,141	-1,305	16,050	-4,513	32,123	53,878	-0,1077	0,767	1,286
16,100	-0,547	16,650	-4,398	-0,0130	0,397	-0,105	16,100	4,475	3,094	-55,920	0,1068	0,074	-1,335	16,100	-2,837	34,369	33,615	-0,0677	0,820	0,802
16,150	0,280	16,195	-13,980	0,0067	0,387	-0,334	16,150	4,558	0,314	-54,507	0,1088	0,008	-1,301	16,150	-1,076	35,484	12,723	-0,0257	0,847	0,304
16,200	1,073	15,252	-23,562	0,0256	0,364	-0,563	16,200	4,507	-2,356	-51,679	0,1076	-0,056	-1,234	16,200	0,712	35,641	-6,283	0,0170	0,851	-0,150
16,250	1,805	13,839	-32,201	0,0431	0,330	-0,769	16,250	4,323	-4,854	-47,281	0,1032	-0,116	-1,129	16,250	2,488	34,856	-26,861	0,0594	0,832	-0,641
16,300	2,457	12,032	-39,898	0,0587	0,287	-0,952	16,300	4,021	-7,084	-41,469	0,0960	-0,169	-0,990	16,300	4,197	32,955	-48,381	0,1002	0,787	-1,155
16,350	3,008	9,849	-46,339	0,0718	0,235	-1,106	16,350	3,614	-9,001	-34,558	0,0863	-0,215	-0,825	16,350	5,784	30,018	-66,288	0,1381	0,717	-1,582
16,400	3,442	7,398	-51,051	0,0822	0,177	-1,219	16,400	3,121	-10,540	-27,332	0,0745	-0,252	-0,653	16,400	7,199	26,327	-80,582	0,1719	0,629	-1,924
16,450	3,748	4,744	-54,035	0,0895	0,113	-1,290	16,450	2,560	-11,734	-20,106	0,0611	-0,280	-0,480	16,450	8,416	21,960	-94,091	0,2009	0,524	-2,246
16,500	3,916	1,995	-55,135	0,0935	0,048	-1,316	16,500	1,948	-12,551	-12,566	0,0465	-0,300	-0,300	16,500	9,395	16,917	-105,872	0,2243	0,404	-2,528
16,550	3,947	-0,770	-54,350	0,0942	-0,018	-1,297	16,550	1,305	-12,990	-5,341	0,0312	-0,310	-0,127	16,550	10,108	11,373	-114,040	0,2413	0,271	-2,722
16,600	3,839	-3,440	-51,836	0,0917	-0,082	-1,237	16,600	0,649	-13,085	1,100	0,0155	-0,312	0,026	16,600	10,532	5,513	-118,281	0,2514	0,132	-2,824
16,650	3,603	-5,953	-49,009	0,0860	-0,142	-1,170	16,650	-0,003	-12,881	6,754	-7,5000E-5	-0,308	0,161	16,650	10,659	-0,456	-119,224	0,2545	-0,011	-2,846
16,700	3,244	-8,341	-44,925	0,0774	-0,199	-1,073	16,700	-0,639	-12,409	11,781	-0,0153	-0,296	0,281	16,700	10,487	-6,409	-117,181	0,2504	-0,153	-2,797
16,750	2,769	-10,446	-39,270	0,0661	-0,249	-0,937	16,750	-1,244	-11,702	16,493	-0,0297	-0,279	0,394	16,750	10,019	-12,174	-111,684	0,2392	-0,291	-2,666
16,800	2,199	-12,268	-32,830	0,0525	-0,293	-0,784	16,800	-1,810	-10,760	21,677	-0,0432	-0,257	0,517	16,800	9,269	-17,577	-103,201	0,2213	-0,420	-2,464
16,850	1,543	-13,729	-24,819	0,0368	-0,328	-0,593	16,850	-2,320	-9,535	27,018	-0,0554	-0,228	0,645	16,850	8,261	-22,494	-91,892	0,1972	-0,537	-2,194
16,900	0,826	-14,750	-16,022	0,0197	-0,352	-0,383	16,900	-2,763	-8,058	32,044	-0,0660	-0,192	0,765	16,900	7,020	-26,766	-78,854	0,1676	-0,639	-1,883
16,950	0,068	-15,331	-6,912	0,0016	-0,366	-0,165	16,950	-3,126	-6,330	36,914	-0,0746	-0,151	0,881	16,950	5,584	-30,379	-64,560	0,1333	-0,725	-1,541
17,000	-0,707	-15,441	1,885	-0,0169	-0,369	0,045	17,000	-3,396	-4,367	41,469	-0,0811	-0,104	0,990	17,000	3,982	-33,222	-46,496	0,0951	-0,793	-1,110
17,050	-1,477	-15,142	10,524	-0,0352	-0,361	0,251	17,050	-3,563	-2,183	44,454	-0,0851	-0,052	1,061	17,050	2,262	-35,029	-25,133	0,0540	-0,836	-0,600
17,100	-2,221	-14,389	19,792	-0,0530	-0,343	0,472	17,100	-3,614	0,079	44,925	-0,0863	0,002	1,073	17,100	0,479	-35,736	-4,869	0,0114	-0,853	-0,116
17,150	-2,915	-13,163	28,589	-0,0696	-0,314	0,682	17,150	-3,555	2,309	44,454	-0,0849	0,055	1,061	17,150	-1,312	-35,516	14,451	-0,0313	-0,848	0,345
17,200	-3,537	-11,530	36,128	-0,0844	-0,275	0,862	17,200	-3,383	4,524	43,354	-0,0808	0,108	1,035	17,200	-3,072	-34,291	36,600	-0,0733	-0,819	0,874
17,250	-4,068	-9,550	42,726	-0,0971	-0,228	1,020	17,250	-3,102	6,644	40,527	-0,0741	0,159	0,967	17,250	-4,741	-31,856	58,120	-0,1132	-0,761	1,388
17,300	-4,492	-7,257	48,381	-0,1072	-0,173	1,155	17,300	-2,719	8,577	36,285	-0,0649	0,205	0,866	17,300	-6,258	-28,479	75,712	-0,1494	-0,680	1,808
17,350	-4,794	-4,712	51,836	-0,1144	-0,112	1,237	17,350	-2,245	10,273	30,788	-0,0536	0,245	0,735	17,350	-7,589	-24,285	92,520	-0,1812	-0,580	2,209
17,400	-4,964	-2,073	52,936	-0,1185	-0,049	1,264	17,400	-1,692	11,655	23,248	-0,0404	0,278	0,555	17,400	-8,687	-19,227	108,856	-0,2074	-0,459	2,599
17,450	-5,001	0,581	52,308	-0,1194	0,014	1,249	17,450	-1,079	12,598	14,137	-0,0258	0,301	0,337	17,450	-9,511	-13,399	122,208	-0,2271	-0,320	2,917
17,500	-4,906	3,157	49,794	-0,1171	0,075	1,189	17,500	-0,432	13,069	4,712	-0,0103	0,312	0,112	17,500	-10,026	-7,006	128,805	-0,2394	-0,167	3,075
17,550	-4,686	5,561	46,181	-0,1119	0,133	1,102	17,550	0,228	13,069	-4,869	0,0054	0,312	-0,116	17,550	-10,212	-0,518	126,763	-0,2438	-0,012	3,026
17,600	-4,350	7,775	42,097	-0,1038	0,186	1,005	17,600	0,875	12,582	-14,451	0,0209	0,300	-0,345	17,600	-10,078	5,671	119,224	-0,2406	0,135	2,846
17,650	-3,908	9,770	37,228	-0,0933	0,233	0,889	17,650	1,486	11,624	-22,934	0,0355	0,277	-0,547	17,650	-9,645	11,404	110,270	-0,2302	0,272	2,633
17,700	-3,373	11,498	31,102	-0,0805	0,275	0,743	17,700	2,037	10,289	-29,845	0,0486	0,246	-0,712	17,700	-8,938	16,698	101,159	-0,2134	0,399	2,415
17,750	-2,758	12,881	24,033	-0,0658	0,308	0,574	17,750	2,515	8,639	-35,186	0,0600	0,206	-0,840	17,750	-7,975	21,520	90,007	-0,1904	0,514	2,149
17,800	-2,084	13,902	16,336	-0,0498	0,332	0,390	17,800	2,901	6,770	-38,642	0,0693	0,162	-0,923	17,800	-6,786	25,698	77,126	-0,1620	0,613	1,841
17,850	-1,368	14,514	8,011	-0,0327	0,346	0,191	17,850	3,192	4,775	-40,369	0,0762	0,114	-0,964	17,850	-5,405	29,233	63,617	-0,1290	0,698	1,519
17,900	-0,633	14,703	0,314	-0,0151	0,351	0,008	17,900	3,379	2,733	-39,741	0,0807	0,065	-0,949	17,900	-3,863	32,060	46,653	-0,0922	0,765	1,114
17,950	0,102	14,546	-7,069	0,0024	0,347	-0,169	17,950	3,465	0,801	-37,385	0,0827	0,019	-0,893	17,950	-2,199	33,898	25,918	-0,0525	0,809	0,619
18,000	0,822	13,996	-15,080	0,0196	0,334	-0,360	18,000	3,459	-1,005	-34,558	0,0826	-0,024	-0,825	18,000	-0,473	34,652	5,969	-0,0113	0,827	0,142
18,050	1,502	13,038	-22,619	0,0359	0,311	-0,540	18,050	3,365	-2,655	-31,102	0,0803	-0,063	-0,742	18,050	1,266	34,495	-12,409	0,0302	0,823	-0,296
18,100	2,125	11,734	-29,374	0,0507	0,280	-0,701	18,100	3,193	-4,115	-27,803	0,0762	-0,098	-0,664	18,100	2,977	33,411	-32,673	0,0711	0,798	-0,780
18,150	2,675	10,100	-35,500	0,0639	0,241	-0,847	18,150	2,953	-5,435	-24,819	0,0705	-0,130	-0,593	18,150	4,607	31,227	-53,250	0,1100	0,745	-1,271
18,200	3,135	8,184	-40,369	0,0749	0,195	-0,964	18,200	2,650	-6,597	-21,991	0,0633	-0,158	-0,525	18,200	6,099	28,086	-69,586	0,1456	0,671	-1,661
18,250	3,493	6,063	-43,668	0,0834	0,145	-1,043	18,250	2,293	-7,634	-19,321	0,0547	-0,182	-0,461	18,250	7,416	24,269	-82,781	0,1770	0,579	-1,976
18,300	3,742	3,817	-45,239	0,0893	0,091	-1,080	18,300	1,887	-8,529	-16,179	0,0450	-0,204	-0,386	18,300	8,526	19,808	-95,504	0,2036	0,473	-2,280
18,350	3,875	1,539	-45,553	0,0925	0,037	-1,088	18,350	1,440	-9,252	-12,881	0,0344	-0,221	-0,307	18,350	9,397	14,718	-106,186	0,2243	0,351	-2,535
18,400	3,896	-0,738	-44,611	0,0930	-0,018	-1,065	18,400	0,961	-9,817	-9,425	0,0229	-0,234	-0,225	18,400	9,998	9,189	-112,626	0,2387	0,219	-2,689
18,450	3,801	-2,922	-41,940	0,0908	-0,070	-1,001	18,450	0,459	-10,194	-5,184	0,0109	-0,243	-0,124	18,450	10,315	3,456	-115,768	0,2463	0,083	-2,764
18,500	3,603	-4,932	-38,799	0,0860	-0,118	-0,926	18,500	-0,058	-10,336	3,624E-12	-0,0014	-0,247	8,660E-14	18,500	10,344	-2,388	-115,925	0,2469	-0,057	-2,768
18,550	3,308	-6,802	-35,343	0,0790	-0,162	-0,844	18,550	-0,575	-10,194	5,655	-0,0137	-0,243	0,135	18,550	10,077	-8,137	-112,469	0,2406	-0,194	-2,685
18,600	2,923	-8,467	-30,631	0,0698	-0,202	-0,731	18,600	-1,078	-9,770	11,781	-0,0257	-0,233	0,281	18,600	9,530	-13,635	-106,343	0,2275	-0,325	-2,539
18,650	2,461	-9,865	-24,976	0,0588	-0,236	-0,596	18,650	-1,552	-9,016	18,850	-0,0371	-0,215	0,450	18,650	8,713	-18,771	-97,075	0,2080	-0,448	-2,318
18,700	1,937	-10,964	-18,850	0,0462	-0,262	-0,450	18,700	-1,979	-7,885	26,075	-0,0473	-0,188	0,622	18,700	7,653	-23,342	-85,294	0,1827	-0,557	-2,036
18,750	1,365	-11,750	-11,938	0,0326	-0,280	-0,285	18,750	-2,340	-6,409	32,516	-0,0559	-0,153	0,776	18,750	6,379	-27,300	-72,728	0,1523	-0,652	-1,736
18,800	0,762	-12,158	-4,241	0,0182	-0,290	-0,101	18,800	-2,620	-4,634	38,013	-0,0626	-0,111	0,908	18,800	4,923	-30,615	-57,805	0,1175	-0,731	-1,380
18,850	0,149	-12,174	3,142	0,0036	-0,291	0,075	18,850	-2,804	-2,608	41,469	-0,0669	-0,062	0,990	18,850	3,318	-33,081	-38,485	0,0792	-0,790	-0,919
18,900	-0,456	-11,844	9,896	-0,0109	-0,283	0,236	18,900	-2,881	-0,487	41,940	-0,0688	-0,012	1,001	18,900	1,615	-34,463	-17,593	0,0386	-0,823	-0,420
18,950	-1,035	-11,184	16,179	-0,0247	-0,267	0,386	18,950	-2,853	1,587	40,527	-0,0681	0,038	0,968	18,950	-0,129	-34,840	1,414	-0,0031	-0,832	0,034
19,000	-1,574	-10,226	22,462	-0,0376	-0,244	0,536	19,000	-2,722	3,566	37,542	-0,0650	0,085	0,896	19,000	-1,869	-34,322	21,049	-0,0446	-0,819	0,503
19,050	-2,058	-8,938	28,431	-0,0491	-0,213	0,679	19,050	-2,496	5,341	32,830	-0,0596	0,127	0,784	19,050	-3,561	-32,735	43,040	-0,0850	-0,781	1,027
19,100	-2,468	-7,383	33,144	-0,0589	-0,176	0,791	19,100	-2,188	6,849	27,489	-0,0522	0,163	0,656	19,100	-5,143	-30,018	62,832	-0,1228	-0,717	1,500
19,150	-2,796	-5,623	37,228	-0,0667	-0,134	0,889	19,150	-1,811	8,090	21,206	-0,0432	0,193	0,506	19,150	-6,563	-26,452	79,168	-0,1567	-0,631	1,890
19,200	-3,030	-3,660	39,898	-0,0723	-0,087	0,952	19,200	-1,379	8,969	13,823	-0,0329	0,214	0,330	19,200	-7,788	-22,101	95,504	-0,1859	-0,528	2,280
19,250	-3,162	-1,634	40,212	-0,0755	-0,039	0,960	19,250	-0,914	9,472	6,440	-0,0218	0,226	0,154	19,250	-8,773	-16,902	110,741	-0,2094	-0,404	2,644
19,300	-3,193	0,361	38,642	-0,0762	0,009	0,922	19,300	-0,432	9,613	-0,628	-0,0103	0,230	-0,015	19,300	-9,478	-11,027	121,580	-0,2263	-0,263	2,903
19,350	-3,126	2,231	35,657	-0,0746	0,053	0,851	19,350	0,047	9,409	-6,912	0,0011	0,225	-0,165	19,350	-9,876	-4,744	126,135	-0,2358	-0,113	3,011
19,400	-2,970	3,927	32,516	-0,0709	0,094	0,776	19,400	0,509	8,922	-11,938	0,0121	0,213	-0,285	19,400	-9,953	1,587	122,365	-0,2376	0,038	2,921
19,450	-2,733	5,482	29,217	-0,0652	0,131	0,698	19,450	0,939	8,215	-16,022	0,0224	0,196	-0,382	19,450	-9,717	7,493	113,097	-0,2320	0,179	2,700
19,500	-2,422	6,849	25,133	-0,0578	0,164	0,600	19,500	1,330	7,320	-19,164	0,0318	0,175	-0,457	19,500	-9,203	12,896	104,144	-0,2197	0,308	2,486
19,550	-2,048	7,995	20,106	-0,0489	0,191	0,480	19,550	1,671	6,299	-20,892	0,0399	0,150	-0,499	19,550	-8,427	17,907	95,190	-0,2012	0,427	2,272
19,600	-1,623	8,859	14,451	-0,0387	0,211	0,345	19,600	1,960	5,231	-21,834	0,0468	0,125	-0,521	19,600	-7,413	22,415	83,881	-0,1770	0,535	2,002
19,650	-1,162	9,440	8,639	-0,0277	0,225	0,206	19,650	2,194	4,115	-22,619	0,0524	0,098	-0,540	19,650	-6,186	26,295	71,000	-0,1477	0,628	1,695
19,700	-0,679	9,723	2,827	-0,0162	0,232	0,068	19,700	2,372	2,969	-23,248	0,0566	0,071	-0,555	19,700	-4,783	29,515	57,020	-0,1142	0,705	1,361
19,750	-0,190	9,723	-2,985	-0,0045	0,232	-0,071	19,750	2,491	1,791	-23,405	0,0595	0,043	-0,559	19,750	-3,234	31,997	39,113	-0,0772	0,764	0,934
19,800	0,294	9,425	-9,111	0,0070	0,225	-0,218	19,800	2,551	0,628	-23,091	0,0609	0,015	-0,551	19,800	-1,583	33,427	18,535	-0,0378	0,798	0,442
19,850	0,752	8,812	-14,923	0,0180	0,210	-0,356	19,850	2,554	-0,518	-22,777	0,0610	-0,012	-0,544	19,850	0,108	33,851	0,157	0,0026	0,808	0,004
19,900	1,175	7,933	-20,106	0,0281	0,189	-0,480	19,900	2,499	-1,649	-22,619	0,0597	-0,039	-0,540	19,900	1,802	33,442	-18,378	0,0430	0,798	-0,439
19,950	1,546	6,802	-24,662	0,0369	0,162	-0,589	19,950	2,389	-2,780	-23,091	0,0570	-0,066	-0,551	19,950	3,453	32,013	-38,956	0,0824	0,764	-0,930
20,000	1,855	5,466	-28,589	0,0443	0,131	-0,683	20,000	2,221	-3,958	-23,248	0,0530	-0,095	-0,555	20,000	5,003	29,547	-57,648	0,1194	0,705	-1,376
20,050	2,092	3,943	-31,730	0,0500	0,094	-0,758	20,050	1,993	-5,105	-22,148	0,0476	-0,122	-0,529	20,050	6,407	26,248	-72,728	0,1530	0,627	-1,736
20,100	2,249	2,293	-33,458	0,0537	0,055	-0,799	20,100	1,711	-6,173	-20,420	0,0408	-0,147	-0,487	20,100	7,628	22,274	-85,451	0,1821	0,532	-2,040
20,150	2,322	0,597	-33,615	0,0554	0,014	-0,802	20,150	1,376	-7,147	-17,436	0,0328	-0,171	-0,416	20,150	8,635	17,703	-96,761	0,2061	0,423	-2,310
20,200	2,309	-1,068	-32,673	0,0551	-0,025	-0,780	20,200	0,996	-7,917	-12,881	0,0238	-0,189	-0,308	20,200	9,398	12,598	-106,029	0,2244	0,301	-2,531
20,250	2,215	-2,670	-31,416	0,0529	-0,064	-0,750	20,250	0,584	-8,435	-7,540	0,0139	-0,201	-0,180	20,250	9,894	7,100	-111,684	0,2362	0,170	-2,666
