Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3	Messreihe #3
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
2,650	7,845	19,572	9,739	0,1873	0,467	0,232	2,650	14,811	0,141	0,942	0,3536	0,003	0,022	2,650	-7,551	-42,584	106,657	-0,1803	-1,017	2,546
2,700	8,833	19,886	0,000	0,2109	0,475	0,000	2,700	14,817	0,079	-1,571	0,3537	0,002	-0,037	2,700	-9,550	-36,631	132,732	-0,2280	-0,875	3,169
2,750	9,833	19,572	-17,907	0,2347	0,467	-0,428	2,750	14,819	-0,016	-1,100	0,3538	-3,750E-4	-0,026	2,750	-11,214	-29,311	155,352	-0,2677	-0,700	3,709
2,800	10,790	18,096	-40,369	0,2576	0,432	-0,964	2,800	14,816	-0,031	0,314	0,3537	-7,500E-4	0,007	2,800	-12,482	-21,096	169,960	-0,2980	-0,504	4,058
2,850	11,643	15,535	-53,878	0,2780	0,371	-1,286	2,850	14,816	0,016	4,555	0,3537	3,750E-4	0,109	2,850	-13,324	-12,315	178,286	-0,3181	-0,294	4,256
2,900	12,343	12,708	-53,721	0,2947	0,303	-1,282	2,900	14,817	0,424	8,168	0,3537	0,010	0,195	2,900	-13,713	-3,267	179,228	-0,3274	-0,078	4,279
2,950	12,914	10,163	-49,480	0,3083	0,243	-1,181	2,950	14,858	0,833	8,639	0,3547	0,020	0,206	2,950	-13,650	5,608	172,945	-0,3259	0,134	4,129
3,000	13,360	7,760	-45,082	0,3189	0,185	-1,076	3,000	14,901	1,288	0,471	0,3557	0,031	0,011	3,000	-13,152	14,027	161,478	-0,3140	0,335	3,855
3,050	13,690	5,655	-34,558	0,3268	0,135	-0,825	3,050	14,987	0,880	-11,153	0,3578	0,021	-0,266	3,050	-12,248	21,756	149,697	-0,2924	0,519	3,574
3,100	13,925	4,304	-17,907	0,3324	0,103	-0,428	3,100	14,989	0,173	-12,409	0,3578	0,004	-0,296	3,100	-10,977	28,997	137,602	-0,2621	0,692	3,285
3,150	14,120	3,864	-1,571	0,3371	0,092	-0,037	3,150	15,004	-0,361	-7,383	0,3582	-0,009	-0,176	3,150	-9,348	35,516	116,553	-0,2232	0,848	2,783
3,200	14,312	4,147	11,467	0,3417	0,099	0,274	3,200	14,952	-0,565	5,655	0,3570	-0,014	0,135	3,200	-7,425	40,652	90,949	-0,1773	0,971	2,171
3,250	14,535	5,011	-13,195	0,3470	0,120	-0,315	3,250	14,948	0,204	9,739	0,3569	0,005	0,233	3,250	-5,283	44,611	67,701	-0,1261	1,065	1,616
3,300	14,813	2,827	-53,093	0,3536	0,068	-1,268	3,300	14,973	0,408	1,571	0,3575	0,010	0,038	3,300	-2,964	47,422	40,998	-0,0708	1,132	0,979
3,350	14,817	-0,298	-30,631	0,3537	-0,007	-0,731	3,350	14,989	0,361	-33,772	0,3578	0,009	-0,806	3,350	-0,540	48,710	12,881	-0,0129	1,163	0,307
3,400	14,783	-0,236	6,283	0,3529	-0,006	0,150	3,400	15,009	-2,969	-124,721	0,3583	-0,071	-2,977	3,400	1,907	48,710	-14,765	0,0455	1,163	-0,352
3,450	14,794	0,330	6,597	0,3532	0,008	0,157	3,450	14,692	-12,111	-193,522	0,3507	-0,289	-4,620	3,450	4,331	47,234	-44,611	0,1034	1,128	-1,065
3,500	14,816	0,424	3,299	0,3537	0,010	0,079	3,500	13,798	-22,321	-179,856	0,3294	-0,533	-4,294	3,500	6,630	44,249	-70,529	0,1583	1,056	-1,684
