Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
2,120	-0,104	-5,773	19,635	-0,0025	-0,138	0,469
2,140	-0,215	-5,341	20,617	-0,0051	-0,127	0,492
2,160	-0,317	-4,948	20,617	-0,0076	-0,118	0,492
2,180	-0,413	-4,516	21,598	-0,0099	-0,108	0,516
2,200	-0,498	-4,084	21,598	-0,0119	-0,097	0,516
2,220	-0,576	-3,652	22,580	-0,0138	-0,087	0,539
2,240	-0,644	-3,181	22,580	-0,0154	-0,076	0,539
2,260	-0,704	-2,749	22,580	-0,0168	-0,066	0,539
2,280	-0,754	-2,278	24,544	-0,0180	-0,054	0,586
2,300	-0,795	-1,767	24,544	-0,0190	-0,042	0,586
2,320	-0,825	-1,296	23,562	-0,0197	-0,031	0,562
2,340	-0,847	-0,825	24,544	-0,0202	-0,020	0,586
2,360	-0,858	-0,314	24,544	-0,0205	-0,007	0,586
2,380	-0,859	0,157	22,580	-0,0205	0,004	0,539
2,400	-0,851	0,589	20,617	-0,0203	0,014	0,492
2,420	-0,836	0,982	21,598	-0,0199	0,023	0,516
2,440	-0,812	1,453	22,580	-0,0194	0,035	0,539
2,460	-0,778	1,885	20,617	-0,0186	0,045	0,492
2,480	-0,737	2,278	20,617	-0,0176	0,054	0,492
2,500	-0,686	2,710	20,617	-0,0164	0,065	0,492
2,520	-0,628	3,102	19,635	-0,0150	0,074	0,469
2,540	-0,562	3,495	20,617	-0,0134	0,083	0,492
2,560	-0,489	3,927	20,617	-0,0117	0,094	0,492
2,580	-0,405	4,320	19,635	-0,0097	0,103	0,469
2,600	-0,316	4,712	19,635	-0,0075	0,112	0,469
2,620	-0,217	5,105	18,653	-0,0052	0,122	0,445
2,640	-0,112	5,459	18,653	-0,0027	0,130	0,445
2,660	0,002	5,851	18,653	3,7500E-5	0,140	0,445
2,680	0,123	6,205	16,690	0,0029	0,148	0,398
2,700	0,250	6,519	16,690	0,0060	0,156	0,398
2,720	0,383	6,872	16,690	0,0092	0,164	0,398
2,740	0,525	7,186	15,708	0,0125	0,172	0,375
2,760	0,671	7,501	15,708	0,0160	0,179	0,375
2,780	0,825	7,815	13,744	0,0197	0,187	0,328
2,800	0,983	8,050	11,781	0,0235	0,192	0,281
2,820	1,147	8,286	11,781	0,0274	0,198	0,281
2,840	1,315	8,522	11,781	0,0314	0,203	0,281
2,860	1,488	8,757	11,781	0,0355	0,209	0,281
2,880	1,665	8,993	9,817	0,0398	0,215	0,234
2,900	1,847	9,150	7,854	0,0441	0,218	0,188
2,920	2,031	9,307	7,854	0,0485	0,222	0,187
2,940	2,220	9,464	7,854	0,0530	0,226	0,188
2,960	2,410	9,621	6,872	0,0575	0,230	0,164
2,980	2,604	9,739	4,909	0,0622	0,232	0,117
3,000	2,799	9,817	3,927	0,0668	0,234	0,094
3,020	2,997	9,896	2,945	0,0716	0,236	0,070
3,040	3,195	9,935	1,963	0,0763	0,237	0,047
3,060	3,394	9,975	1,963	0,0810	0,238	0,047
3,080	3,594	10,014	0,982	0,0858	0,239	0,023
3,100	3,795	10,014	-1,963	0,0906	0,239	-0,047
3,120	3,995	9,935	-3,927	0,0954	0,237	-0,094
3,140	4,192	9,857	-2,945	0,1001	0,235	-0,070
3,160	4,389	9,817	-3,927	0,1048	0,234	-0,094
3,180	4,585	9,700	-6,872	0,1095	0,232	-0,164
3,200	4,777	9,543	-6,872	0,1140	0,228	-0,164
3,220	4,967	9,425	-6,872	0,1186	0,225	-0,164
3,240	5,154	9,268	-9,817	0,1230	0,221	-0,234
3,260	5,338	9,032	-11,781	0,1274	0,216	-0,281
3,280	5,515	8,796	-10,799	0,1317	0,210	-0,258
3,300	5,689	8,600	-11,781	0,1358	0,205	-0,281
3,320	5,859	8,325	-14,726	0,1399	0,199	-0,352
3,340	6,022	8,011	-14,726	0,1438	0,191	-0,352
3,360	6,180	7,736	-14,726	0,1475	0,185	-0,352
3,380	6,332	7,422	-17,671	0,1512	0,177	-0,422
3,400	6,476	7,029	-18,653	0,1546	0,168	-0,445
3,420	6,613	6,676	-17,671	0,1579	0,159	-0,422
3,440	6,743	6,322	-19,635	0,1610	0,151	-0,469
