Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)
5.300				1.486	-12.299	-193.208	0.0355	-0.294	-4.612	28.1
5.350				0.511	-16.996	71.000	0.0122	-0.406	1.695	
5.400	103.76	99.26	4.49	-0.214	-5.199	278.502	-0.0051	-0.124	6.649	28.1
5.450				-0.009	10.854	213.786	-2.2500E-4	0.259	5.104	
5.500				0.872	16.179	-25.447	0.0208	0.386	-0.608	28.1
5.550				1.608	8.310	-224.938	0.0384	0.198	-5.370	
5.600	158.96	99.26	59.70	1.703	-6.315	-252.741	0.0407	-0.151	-6.034	28.1
5.650				0.977	-16.965	-56.706	0.0233	-0.405	-1.354	
5.700				0.006	-11.985	213.314	1.5000E-4	-0.286	5.093	28.1
5.750				-0.221	4.367	275.832	-0.0053	0.104	6.585	
5.800	145.04	99.27	45.78	0.443	15.598	87.336	0.0106	0.372	2.085	28.1
5.850				1.338	13.100	-150.011	0.0320	0.313	-3.581	
5.900				1.753	0.597	-266.878	0.0419	0.014	-6.371	28.0
5.950				1.398	-13.587	-169.646	0.0334	-0.324	-4.050	
6.000	97.36	99.26	-1.90	0.394	-16.368	102.416	0.0094	-0.391	2.445	28.0
6.050				-0.239	-3.346	283.215	-0.0057	-0.080	6.761	
6.100				0.060	11.954	191.951	0.0014	0.285	4.583	28.0
6.150				0.957	15.849	-48.066	0.0228	0.378	-1.148	
6.200	171.74	99.27	72.48	1.645	7.147	-235.620	0.0393	0.171	-5.625	28.0
6.250				1.671	-7.713	-244.730	0.0399	-0.184	-5.842	
6.300				0.873	-17.326	-29.060	0.0209	-0.414	-0.694	28.0
6.350				-0.061	-10.619	233.421	-0.0015	-0.254	5.573	
6.400	122.74	99.26	23.48	-0.188	6.016	266.093	-0.0045	0.144	6.353	28.0
6.450				0.540	15.991	61.418	0.0129	0.382	1.466	
6.500				1.411	12.158	-169.489	0.0337	0.290	-4.046	28.0
6.550				1.756	-0.958	-268.449	0.0419	-0.023	-6.409	
6.600	130.46	99.26	31.20	1.315	-14.687	-147.184	0.0314	-0.351	-3.514	28.0
6.650				0.287	-15.677	133.204	0.0069	-0.374	3.180	
6.700				-0.253	-1.367	288.713	-0.0060	-0.033	6.893	27.9
6.750				0.151	13.195	167.447	0.0036	0.315	3.997	
6.800	167.82	99.26	68.55	1.067	15.378	-76.655	0.0255	0.367	-1.830	27.9
6.850				1.689	5.529	-247.244	0.0403	0.132	-5.903	
6.900				1.619	-9.346	-229.651	0.0387	-0.223	-5.483	27.9
6.950				0.754	-17.436	4.241	0.0180	-0.416	0.101	
7.000	106.41	99.26	7.15	-0.124	-8.922	252.113	-0.0030	-0.213	6.019	27.9
7.050				-0.138	7.775	251.799	-0.0033	0.186	6.011	
7.100				0.653	16.258	32.044	0.0156	0.388	0.765	27.9
7.150				1.488	10.980	-190.538	0.0355	0.262	-4.549	
7.200	154.55	99.26	55.29	1.751	-2.796	-266.250	0.0418	-0.067	-6.356	27.9
7.250				1.208	-15.645	-118.281	0.0288	-0.373	-2.824	
7.300				0.187	-14.624	161.949	0.0045	-0.349	3.866	27.9
7.350				-0.254	0.550	288.241	-0.0061	0.013	6.881	
7.400	150.45	99.26	51.18	0.242	14.200	142.314	0.0058	0.339	3.398	27.8
7.450				1.166	14.781	-103.516	0.0278	0.353	-2.471	
7.500				1.720	3.848	-258.239	0.0411	0.092	-6.165	27.8
7.550				1.550	-11.043	-211.429	0.0370	-0.264	-5.047	
7.600	105.42	99.26	6.16	0.616	-17.294	41.155	0.0147	-0.413	0.982	27.8
7.650				-0.179	-6.927	267.350	-0.0043	-0.165	6.383	
7.700				-0.077	9.440	232.007	-0.0018	0.225	5.539	27.8
7.750				0.765	16.273	2.513	0.0183	0.389	0.060	
7.800	170.10	99.26	70.84	1.550	9.692	-208.916	0.0370	0.231	-4.988	27.8
7.850				1.734	-4.618	-262.166	0.0414	-0.110	-6.259	
7.900				1.089	-16.525	-86.865	0.0260	-0.395	-2.074	27.8
7.950				0.082	-13.305	191.794	0.0020	-0.318	4.579	
8.000	127.85	99.26	28.58	-0.242	2.655	283.058	-0.0058	0.063	6.757	27.7
8.050				0.347	15.001	112.940	0.0083	0.358	2.696	
8.100				1.258	13.949	-127.235	0.0300	0.333	-3.038	27.7
8.150				1.742	2.278	-262.952	0.0416	0.054	-6.278	
8.200	124.83	99.26	25.57	1.486	-12.346	-192.894	0.0355	-0.295	-4.605	27.7
8.250				0.507	-17.012	71.785	0.0121	-0.406	1.714	
8.300				-0.215	-5.168	278.188	-0.0051	-0.123	6.641	27.7
8.350				-0.009	10.807	213.000	-2.2500E-4	0.258	5.085	
8.400	170.29	99.27	71.03	0.866	16.132	-23.876	0.0207	0.385	-0.570	27.7
8.450				1.604	8.419	-223.053	0.0383	0.201	-5.325	
8.500				1.707	-6.173	-254.155	0.0408	-0.147	-6.067	27.7
8.550				0.986	-16.996	-58.905	0.0236	-0.406	-1.406	
8.600	97.35	99.26	-1.91	0.008	-12.064	214.257	1.8750E-4	-0.288	5.115	27.7
8.650				-0.220	4.430	277.246	-0.0052	0.106	6.619	
8.700				0.451	15.661	86.080	0.0108	0.374	2.055	27.6
8.750				1.346	13.038	-152.053	0.0321	0.311	-3.630	
8.800	149.03	99.26	49.77	1.755	0.456	-267.350	0.0419	0.011	-6.382	27.6
8.850				1.392	-13.697	-167.761	0.0332	-0.327	-4.005	
8.900				0.385	-16.321	105.715	0.0092	-0.390	2.524	27.6
8.950				-0.240	-3.126	285.414	-0.0057	-0.075	6.814	
9.000	116.69	99.26	17.42	0.072	12.221	189.752	0.0017	0.292	4.530	27.6
9.050				0.982	15.849	-54.350	0.0234	0.378	-1.297	
9.100				1.657	6.786	-239.547	0.0396	0.162	-5.719	27.6
9.150				1.660	-8.105	-241.274	0.0396	-0.193	-5.760	
9.200	102.82	99.26	3.56	0.847	-17.342	-21.677	0.0202	-0.414	-0.518	27.5
9.250				-0.074	-10.273	236.876	-0.0018	-0.245	5.655	
9.300				-0.181	6.346	263.423	-0.0043	0.151	6.289	27.5
9.350				0.561	16.069	56.235	0.0134	0.384	1.343	
9.400	167.81	99.26	68.54	1.426	11.969	-174.201	0.0341	0.286	-4.159	27.5
9.450				1.758	-1.351	-269.078	0.0420	-0.032	-6.424	
9.500				1.291	-14.938	-141.058	0.0308	-0.357	-3.367	27.5
9.550				0.264	-15.457	139.644	0.0063	-0.369	3.334	
9.600	102.90	99.26	3.64	-0.254	-0.974	288.398	-0.0061	-0.023	6.885	27.5
9.650				0.167	13.383	162.420	0.0040	0.320	3.878	
9.700				1.084	15.268	-80.896	0.0259	0.365	-1.931	27.5
9.750				1.693	5.294	-248.657	0.0404	0.126	-5.936	
9.800	119.20	99.26	19.94	1.613	-9.598	-227.609	0.0385	-0.229	-5.434	27.4
9.850				0.734	-17.467	9.739	0.0175	-0.417	0.232	
9.900				-0.134	-8.624	254.940	-0.0032	-0.206	6.086	27.4
9.950				-0.129	8.027	248.814	-0.0031	0.192	5.940	
