Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2	Messreihe #2
Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)	Zeit (s)	Absolutdruck 1 (kPa)	Absolutdruck 2 (kPa)	1-2 Druckdifferenz (kPa)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Temperatur (°C)
270.300				1.484	11.058	-190.066	0.0354	0.264	-4.537	-7.7	270.300				0.410	-16.698	98.489	0.0098	-0.399	2.351	26.5
270.350				1.751	-2.702	-266.093	0.0418	-0.064	-6.353		270.350				-0.262	-3.299	294.525	-0.0063	-0.079	7.031	
270.400	105.75	99.26	6.49	1.214	-15.551	-120.009	0.0290	-0.371	-2.865	-7.7	270.400	137.21	99.26	37.94	0.080	12.755	188.653	0.0019	0.305	4.504	26.6
270.450				0.196	-14.703	159.750	0.0047	-0.351	3.814		270.450				1.013	15.567	-63.146	0.0242	0.372	-1.508	
270.500				-0.256	0.424	289.341	-0.0061	0.010	6.908	-7.7	270.500				1.637	6.440	-228.394	0.0391	0.154	-5.453	26.6
270.550				0.239	14.231	144.042	0.0057	0.340	3.439		270.550				1.657	-7.273	-236.719	0.0396	-0.174	-5.651	
270.600	160.43	99.27	61.16	1.167	14.828	-103.673	0.0279	0.354	-2.475	-7.7	270.600	112.35	99.26	13.09	0.909	-17.232	-38.799	0.0217	-0.411	-0.926	26.6
270.650				1.722	3.864	-257.454	0.0411	0.092	-6.146		270.650				-0.066	-11.153	235.620	-0.0016	-0.266	5.625	
270.700				1.554	-10.917	-211.272	0.0371	-0.261	-5.044	-7.7	270.700				-0.206	6.330	273.633	-0.0049	0.151	6.532	26.6
270.750				0.630	-17.263	38.170	0.0150	-0.412	0.911		270.750				0.567	16.211	52.936	0.0135	0.387	1.264	
270.800	101.83	99.26	2.56	-0.173	-7.100	267.036	-0.0041	-0.169	6.375	-7.7	270.800	194.50	99.26	95.24	1.415	11.624	-167.604	0.0338	0.277	-4.001	26.7
270.850				-0.080	9.440	234.834	-0.0019	0.225	5.606		270.850				1.729	-0.550	-254.469	0.0413	-0.013	-6.075	
270.900				0.771	16.383	1.571	0.0184	0.391	0.038	-7.7	270.900				1.360	-13.823	-157.708	0.0325	-0.330	-3.765	26.7
270.950				1.558	9.598	-211.744	0.0372	0.229	-5.055		270.950				0.347	-16.321	115.925	0.0083	-0.390	2.768	
271.000	122.83	99.26	23.57	1.731	-4.791	-261.224	0.0413	-0.114	-6.236	-7.7	271.000	115.78	99.26	16.53	-0.272	-2.231	295.624	-0.0065	-0.053	7.058	26.7
271.050				1.079	-16.525	-84.195	0.0258	-0.394	-2.010		271.050				0.124	13.242	174.830	0.0030	0.316	4.174	
271.100				0.079	-13.210	193.208	0.0019	-0.315	4.613	-7.7	271.100				1.052	15.252	-73.356	0.0251	0.364	-1.751	26.8
271.150				-0.242	2.796	283.686	-0.0058	0.067	6.772		271.150				1.649	5.906	-229.965	0.0394	0.141	-5.490	
271.200	140.08	99.27	40.81	0.358	15.158	110.741	0.0086	0.362	2.644	-7.7	271.200	136.12	99.26	36.86	1.643	-7.744	-231.850	0.0392	-0.185	-5.535	26.8
271.250				1.274	13.870	-132.575	0.0304	0.331	-3.165		271.250				0.875	-17.279	-29.217	0.0209	-0.412	-0.697	
271.300				1.745	1.901	-264.679	0.0417	0.045	-6.319	-7.7	271.300				-0.085	-10.666	241.274	-0.0020	-0.255	5.760	26.8
271.350				1.464	-12.598	-187.553	0.0350	-0.301	-4.477		271.350				-0.192	6.849	269.549	-0.0046	0.163	6.435	
271.400	97.82	99.26	-1.44	0.485	-16.855	78.226	0.0116	-0.402	1.867	-7.8	271.400	164.84	99.27	65.57	0.600	16.289	44.454	0.0143	0.389	1.061	26.8
271.450				-0.221	-4.775	280.702	-0.0053	-0.114	6.701		271.450				1.437	11.294	-174.201	0.0343	0.270	-4.159	
271.500				0.008	11.215	209.073	1.8750E-4	0.268	4.991	-7.8	271.500				1.729	-1.131	-255.726	0.0413	-0.027	-6.105	26.9
271.550				0.900	16.132	-32.516	0.0215	0.385	-0.776		271.550				1.324	-14.279	-148.597	0.0316	-0.341	-3.547	
271.600	171.01	99.27	71.75	1.621	7.964	-228.237	0.0387	0.190	-5.449	-7.8	271.600	107.08	99.26	7.82	0.302	-15.991	129.277	0.0072	-0.382	3.086	26.9
271.650				1.696	-6.692	-250.542	0.0405	-0.160	-5.981		271.650				-0.275	-1.351	297.509	-0.0066	-0.032	7.102	
271.700				0.952	-17.090	-49.480	0.0227	-0.408	-1.181	-7.8	271.700				0.167	13.760	163.677	0.0040	0.329	3.907	26.9
271.750				-0.013	-11.640	220.540	-3.0000E-4	-0.278	5.265		271.750				1.101	15.017	-86.551	0.0263	0.358	-2.066	
271.800	119.73	99.27	20.46	-0.212	4.964	274.890	-0.0051	0.118	6.562	-7.8	271.800	204.04	99.26	104.77	1.668	5.105	-237.976	0.0398	0.122	-5.681	27.0
271.850				0.484	15.849	77.597	0.0116	0.378	1.853		271.850				1.612	-8.781	-225.252	0.0385	-0.210	-5.377	
271.900				1.373	12.723	-159.593	0.0328	0.304	-3.810	-7.8	271.900				0.790	-17.420	-6.754	0.0189	-0.416	-0.161	27.0
271.950				1.756	-0.110	-267.664	0.0419	-0.003	-6.390		271.950				-0.130	-9.456	254.469	-0.0031	-0.226	6.075	
272.000	102.33	99.26	3.07	1.362	-14.043	-159.750	0.0325	-0.335	-3.814	-7.8	272.000	134.96	99.26	35.69	-0.156	8.027	257.768	-0.0037	0.192	6.154	27.0
272.050				0.352	-16.085	115.925	0.0084	-0.384	2.767		272.050				0.672	16.321	25.447	0.0161	0.390	0.607	
272.100				-0.247	-2.450	288.713	-0.0059	-0.058	6.893	-7.8	272.100				1.477	10.571	-183.469	0.0353	0.252	-4.380	27.0
272.150				0.107	12.786	181.584	0.0026	0.305	4.335		272.150				1.729	-2.026	-254.312	0.0413	-0.048	-6.071	
272.200	165.15	99.27	65.88	1.032	15.708	-67.387	0.0246	0.375	-1.609	-7.8	272.200	114.05	99.25	14.79	1.274	-14.860	-134.932	0.0304	-0.355	-3.221	27.1
272.250				1.678	6.048	-245.201	0.0401	0.144	-5.854		272.250				0.243	-15.519	145.299	0.0058	-0.370	3.469	
272.300				1.637	-8.812	-234.049	0.0391	-0.210	-5.587	-7.8	272.300				-0.278	-0.330	296.881	-0.0066	-0.008	7.087	27.1
272.350				0.796	-17.357	-7.540	0.0190	-0.414	-0.180		272.350				0.210	14.169	150.168	0.0050	0.338	3.585	
272.400	104.92	99.26	5.66	-0.099	-9.566	244.887	-0.0024	-0.228	5.846	-7.8	272.400	191.93	99.26	92.66	1.139	14.687	-95.819	0.0272	0.351	-2.287	27.1
272.450				-0.160	7.131	258.239	-0.0038	0.170	6.165		272.450				1.679	4.587	-239.390	0.0401	0.110	-5.715	
272.500				0.614	16.258	42.569	0.0147	0.388	1.016	-7.7	272.500				1.598	-9.252	-220.540	0.0381	-0.221	-5.265	27.2
272.550				1.466	11.388	-185.511	0.0350	0.272	-4.429		272.550				0.754	-17.467	3.456	0.0180	-0.417	0.082	
272.600	156.99	99.27	57.73	1.753	-2.293	-267.350	0.0419	-0.055	-6.382	-7.3	272.600	114.14	99.26	14.89	-0.149	-8.906	260.124	-0.0036	-0.213	6.210	27.2
272.650				1.236	-15.347	-126.292	0.0295	-0.366	-3.015		272.650				-0.137	8.545	252.113	-0.0033	0.204	6.019	
272.700				0.218	-14.923	153.153	0.0052	-0.356	3.656	-6.9	272.700				0.705	16.305	16.808	0.0168	0.389	0.401	27.2
272.750				-0.256	-0.031	289.184	-0.0061	-7.500E-4	6.904		272.750				1.494	10.226	-187.396	0.0357	0.244	-4.474	
272.800	147.27	99.27	48.00	0.215	13.996	150.168	0.0051	0.334	3.585	-6.5	272.800	192.20	99.26	92.94	1.728	-2.435	-253.213	0.0413	-0.058	-6.045	27.2
272.850				1.144	14.985	-97.389	0.0273	0.358	-2.325		272.850				1.250	-15.095	-128.491	0.0299	-0.360	-3.067	
272.900				1.714	4.257	-255.726	0.0409	0.102	-6.105	-6.1	272.900				0.218	-15.284	153.153	0.0052	-0.365	3.656	27.3
272.950				1.569	-10.587	-215.985	0.0375	-0.253	-5.156		272.950				-0.278	0.220	297.823	-0.0066	0.005	7.110	
273.000	108.75	99.26	9.49	0.655	-17.342	31.102	0.0156	-0.414	0.743	-5.7	273.000	161.47	99.27	62.20	0.240	14.498	142.628	0.0057	0.346	3.405	27.3
273.050				-0.165	-7.477	264.365	-0.0039	-0.178	6.311		273.050				1.172	14.483	-105.086	0.0280	0.346	-2.509	
273.100				-0.093	9.095	237.976	-0.0022	0.217	5.681	-5.4	273.100				1.689	3.990	-244.259	0.0403	0.095	-5.831	27.3
273.150				0.745	16.321	8.482	0.0178	0.390	0.203		273.150				1.571	-9.943	-214.885	0.0375	-0.237	-5.130	
273.200	170.06	99.27	70.79	1.539	9.943	-205.303	0.0368	0.237	-4.901	-5.1	273.200	107.08	99.26	7.82	0.694	-17.499	20.106	0.0166	-0.418	0.480	27.3
273.250				1.739	-4.210	-262.480	0.0415	-0.101	-6.266		273.250				-0.179	-7.933	270.648	-0.0043	-0.189	6.461	
273.300				1.118	-16.305	-94.405	0.0267	-0.389	-2.254	-4.7	273.300				-0.099	9.566	243.159	-0.0024	0.228	5.805	27.4
273.350				0.108	-13.650	185.511	0.0026	-0.326	4.429		273.350				0.778	16.383	-2.042	0.0186	0.391	-0.049	
273.400	125.88	99.27	26.62	-0.247	2.246	286.671	-0.0059	0.054	6.844	-4.5	273.400	204.15	99.27	104.89	1.539	9.362	-203.890	0.0368	0.224	-4.867	27.4
273.450				0.333	15.017	118.281	0.0080	0.359	2.824		273.450				1.714	-4.006	-254.312	0.0409	-0.096	-6.071	
273.500				1.255	14.074	-127.706	0.0300	0.336	-3.049	-4.2	273.500				1.139	-16.069	-100.688	0.0272	-0.384	-2.404	27.4
273.550				1.740	2.246	-263.737	0.0416	0.054	-6.296		273.550				0.107	-14.074	185.825	0.0026	-0.336	4.436	
273.600	127.94	99.26	28.68	1.480	-12.299	-191.794	0.0353	-0.294	-4.579	-3.9	273.600	133.99	99.26	34.73	-0.269	2.513	294.839	-0.0064	0.060	7.039	27.5
273.650				0.511	-16.933	71.157	0.0122	-0.404	1.699		273.650				0.358	15.410	110.427	0.0086	0.368	2.636	
273.700				-0.214	-5.184	278.817	-0.0051	-0.124	6.656	-3.7	273.700				1.272	13.556	-130.847	0.0304	0.324	-3.124	27.5
273.750				-0.008	10.948	214.100	-1.8750E-4	0.261	5.111		273.750				1.714	2.325	-250.228	0.0409	0.056	-5.974	
273.800	168.98	99.27	69.71	0.881	16.226	-27.646	0.0210	0.387	-0.660	-3.5	273.800	159.69	99.26	60.43	1.505	-11.467	-196.036	0.0359	-0.274	-4.680	27.5
273.850				1.615	8.184	-227.294	0.0386	0.195	-5.426		273.850				0.567	-17.279	54.035	0.0135	-0.412	1.290	
273.900				1.700	-6.503	-252.113	0.0406	-0.155	-6.019	-3.2	273.900				-0.223	-6.063	280.544	-0.0053	-0.145	6.697	27.5
273.950				0.964	-17.027	-53.093	0.0230	-0.407	-1.267		273.950				-0.039	10.776	221.482	-9.3750E-4	0.257	5.288	
274.000	98.09	99.26	-1.17	-0.003	-11.812	217.398	-7.5000E-5	-0.282	5.190	-3.0	274.000	191.23	99.27	91.97	0.855	16.085	-22.619	0.0204	0.384	-0.540	27.6
274.050				-0.217	4.712	276.303	-0.0052	0.112	6.596		274.050				1.569	8.514	-208.131	0.0375	0.203	-4.969	
274.100				0.468	15.818	81.524	0.0112	0.378	1.946	-2.9	274.100				1.706	-4.728	-248.657	0.0407	-0.113	-5.936	27.6
274.150				1.365	12.865	-158.179	0.0326	0.307	-3.776		274.150				1.096	-16.352	-88.436	0.0262	-0.390	-2.111	
274.200	149.95	99.27	50.68	1.755	0.000	-268.292	0.0419	0.000	-6.405	-2.7	274.200	113.66	99.26	14.40	0.071	-13.572	195.564	0.0017	-0.324	4.669	27.6
274.250				1.365	-13.964	-161.007	0.0326	-0.333	-3.844		274.250				-0.261	3.204	291.226	-0.0062	0.077	6.953	
274.300				0.358	-16.101	113.254	0.0086	-0.384	2.704	-2.5	274.300				0.391	15.551	100.374	0.0093	0.371	2.396	27.7
274.350				-0.245	-2.639	286.513	-0.0058	-0.063	6.840		274.350				1.294	13.242	-135.874	0.0309	0.316	-3.244	
274.400	154.61	99.27	55.34	0.094	12.551	183.626	0.0023	0.300	4.384	-2.4	274.400	192.80	99.26	93.54	1.715	1.963	-249.600	0.0410	0.047	-5.959	27.7
274.450				1.010	15.724	-61.889	0.0241	0.375	-1.478		274.450				1.491	-11.718	-191.951	0.0356	-0.280	-4.583	
274.500				1.667	6.362	-242.374	0.0398	0.152	-5.786	-2.2	274.500				0.543	-17.232	61.418	0.0130	-0.411	1.466	27.7
274.550				1.646	-8.514	-237.505	0.0393	-0.203	-5.670		274.550				-0.232	-5.576	285.414	-0.0055	-0.133	6.814	
274.600	104.23	99.26	4.97	0.815	-17.389	-12.881	0.0195	-0.415	-0.308	-2.1	274.600	160.99	99.27	61.73	-0.014	11.310	216.299	-3.3750E-4	0.270	5.164	27.7
274.650				-0.093	-9.802	243.474	-0.0022	-0.234	5.812		274.650				0.898	16.054	-33.772	0.0215	0.383	-0.806	
274.700				-0.165	6.959	260.124	-0.0039	0.166	6.210	-1.9	274.700				1.591	7.933	-215.670	0.0380	0.189	-5.149	27.8
274.750				0.603	16.211	45.553	0.0144	0.387	1.087		274.750				1.692	-5.513	-246.144	0.0404	-0.132	-5.876	
274.800	166.95	99.27	67.68	1.456	11.514	-182.527	0.0348	0.275	-4.357	-1.8	274.800	130.64	99.26	31.38	1.040	-16.682	-73.513	0.0248	-0.398	-1.755	27.8
274.850				1.755	-2.042	-267.350	0.0419	-0.049	-6.383		274.850				0.024	-12.865	209.387	5.6250E-4	-0.307	4.999	
274.900				1.252	-15.221	-130.219	0.0299	-0.363	-3.109	-1.7	274.900				-0.247	4.257	286.985	-0.0059	0.102	6.851	27.8
274.950				0.232	-15.064	149.854	0.0056	-0.360	3.578		274.950				0.449	15.834	84.823	0.0107	0.378	2.025	
275.000	103.09	99.26	3.83	-0.254	-0.236	289.655	-0.0061	-0.006	6.915	-1.6	275.000	204.09	99.27	104.83	1.337	12.739	-148.283	0.0319	0.304	-3.540	27.8
275.050				0.209	13.902	152.682	0.0050	0.332	3.645		275.050				1.723	1.005	-254.312	0.0411	0.024	-6.071	
275.100				1.136	15.033	-95.190	0.0271	0.359	-2.272	-1.5	275.100				1.437	-12.692	-179.228	0.0343	-0.303	-4.279	27.9
275.150				1.712	4.383	-254.783	0.0409	0.105	-6.082		275.150				0.454	-16.917	85.923	0.0108	-0.404	2.051	
275.200	120.09	99.26	20.83	1.574	-10.446	-217.241	0.0376	-0.249	-5.186	-1.4	275.200	131.77	99.26	32.51	-0.254	-4.100	291.540	-0.0061	-0.098	6.960	27.9
275.250				0.668	-17.342	27.960	0.0159	-0.414	0.668		275.250				0.044	12.237	198.706	0.0011	0.292	4.744	
275.300				-0.160	-7.650	263.423	-0.0038	-0.183	6.289	-1.3	275.300				0.969	15.771	-52.150	0.0231	0.376	-1.245	27.9
275.350				-0.097	9.001	240.332	-0.0023	0.215	5.737		275.350				1.621	7.021	-223.524	0.0387	0.168	-5.336	
275.400	143.42	99.27	44.16	0.740	16.383	9.582	0.0177	0.391	0.229	-1.2	275.400	163.09	99.26	63.83	1.671	-6.582	-240.332	0.0399	-0.157	-5.737	28.0
275.450				1.541	9.959	-206.089	0.0368	0.238	-4.920		275.450				0.963	-17.012	-52.936	0.0230	-0.406	-1.264	
275.500				1.736	-4.225	-261.852	0.0414	-0.101	-6.251	-1.1	275.500				-0.030	-11.875	224.781	-7.1250E-4	-0.284	5.366	28.0
275.550				1.118	-16.226	-94.405	0.0267	-0.387	-2.254		275.550				-0.225	5.466	279.759	-0.0054	0.130	6.679	
275.600	98.00	99.26	-1.26	0.113	-13.666	183.155	0.0027	-0.326	4.373	-1.0	275.600	189.54	99.26	90.28	0.517	16.101	66.445	0.0123	0.384	1.586	28.0
275.650				-0.248	2.089	286.042	-0.0059	0.050	6.829		275.650				1.385	12.111	-160.378	0.0331	0.289	-3.829	
275.700				0.322	14.938	120.637	0.0077	0.357	2.880	-1.0	275.700				1.728	0.063	-254.783	0.0413	0.002	-6.083	28.0
275.750				1.246	14.153	-125.193	0.0297	0.338	-2.989		275.750				1.392	-13.367	-166.505	0.0332	-0.319	-3.975	
275.800	142.32	99.26	43.06	1.737	2.419	-262.952	0.0415	0.058	-6.277	-0.9	275.800	111.04	99.26	11.78	0.391	-16.588	103.673	0.0093	-0.396	2.475	28.1
275.850				1.488	-12.142	-193.993	0.0355	-0.290	-4.631		275.850				-0.267	-3.000	294.525	-0.0064	-0.072	7.031	
275.900				0.523	-16.980	67.073	0.0125	-0.405	1.601	-0.8	275.900				0.091	12.865	184.569	0.0022	0.307	4.406	28.1
275.950				-0.210	-5.435	276.775	-0.0050	-0.130	6.607		275.950				1.019	15.457	-64.717	0.0243	0.369	-1.545	
276.000	122.26	99.26	23.00	-0.020	10.697	216.456	-4.8750E-4	0.255	5.168	-0.8	276.000	194.35	99.26	95.08	1.637	6.393	-226.666	0.0391	0.153	-5.411	28.1
276.050				0.859	16.211	-22.305	0.0205	0.387	-0.532		276.050				1.659	-7.210	-236.405	0.0396	-0.172	-5.644	
276.100				1.601	8.467	-223.210	0.0382	0.202	-5.329	-0.7	276.100				0.916	-17.247	-39.898	0.0219	-0.412	-0.953	28.2
276.150				1.706	-6.110	-254.312	0.0407	-0.146	-6.071		276.150				-0.066	-11.200	237.033	-0.0016	-0.267	5.659	
276.200	101.07	99.26	1.81	0.990	-16.965	-60.004	0.0236	-0.405	-1.432	-0.7	276.200	117.53	99.26	18.27	-0.204	6.456	275.047	-0.0049	0.154	6.566	28.2
276.250				0.009	-12.111	213.628	2.2500E-4	-0.289	5.100		276.250				0.580	16.305	50.580	0.0138	0.389	1.207	
276.300				-0.221	4.398	277.874	-0.0053	0.105	6.634	-0.6	276.300				1.426	11.514	-173.102	0.0341	0.275	-4.132	28.2
276.350				0.449	15.677	86.394	0.0107	0.374	2.062		276.350				1.731	-1.005	-258.396	0.0413	-0.024	-6.169	
276.400	166.82	99.26	67.55	1.346	13.038	-152.053	0.0321	0.311	-3.630	-0.6	276.400	130.88	99.26	31.62	1.326	-14.326	-150.325	0.0317	-0.342	-3.589	28.2
276.450				1.753	0.471	-266.564	0.0419	0.011	-6.364		276.450				0.298	-16.038	130.690	0.0071	-0.383	3.120	
276.500				1.393	-13.619	-168.075	0.0333	-0.325	-4.013	-0.5	276.500				-0.278	-1.257	299.080	-0.0066	-0.030	7.140	28.3
276.550				0.391	-16.336	104.615	0.0093	-0.390	2.498		276.550				0.173	13.870	162.578	0.0041	0.331	3.881	
276.600	106.64	99.26	7.37	-0.240	-3.157	286.356	-0.0057	-0.075	6.836	-0.5	276.600	204.21	99.26	104.95	1.109	15.001	-89.221	0.0265	0.358	-2.130	28.3
276.650				0.075	12.299	189.909	0.0018	0.294	4.534		276.650				1.673	4.948	-240.646	0.0399	0.118	-5.745	
276.700				0.990	15.834	-56.235	0.0236	0.378	-1.342	-0.4	276.700				1.604	-9.064	-224.153	0.0383	-0.216	-5.351	28.3
276.750				1.659	6.676	-240.018	0.0396	0.159	-5.730		276.750				0.767	-17.467	-0.314	0.0183	-0.417	-0.007	
276.800	113.69	99.26	14.43	1.657	-8.168	-240.018	0.0396	-0.195	-5.730	-0.4	276.800	107.70	99.26	8.44	-0.143	-9.095	258.710	-0.0034	-0.217	6.176	28.4
276.850				0.842	-17.326	-20.106	0.0201	-0.414	-0.480		276.850				-0.143	8.404	254.469	-0.0034	0.201	6.075	
276.900				-0.075	-10.179	238.918	-0.0018	-0.243	5.704	-0.4	276.900				0.697	16.352	19.007	0.0167	0.390	0.454	28.4
276.950				-0.176	6.566	263.580	-0.0042	0.157	6.292		276.950				1.492	10.304	-187.867	0.0356	0.246	-4.485	
277.000	150.54	99.26	51.27	0.581	16.179	51.679	0.0139	0.386	1.234	-0.3	277.000	162.71	99.26	63.45	1.728	-2.435	-254.312	0.0413	-0.058	-6.071	28.4
277.050				1.442	11.734	-178.914	0.0344	0.280	-4.271		277.050				1.249	-15.127	-128.491	0.0298	-0.361	-3.067	
277.100				1.755	-1.712	-267.507	0.0419	-0.041	-6.386	-0.3	277.100				0.215	-15.284	153.781	0.0051	-0.365	3.671	28.4
277.150				1.271	-15.017	-135.403	0.0303	-0.359	-3.233		277.150				-0.280	0.251	297.666	-0.0067	0.006	7.106	
277.200	98.85	99.26	-0.41	0.253	-15.252	143.100	0.0060	-0.364	3.416	-0.3	277.200	140.70	99.26	41.44	0.240	14.483	142.157	0.0057	0.346	3.394	28.5
277.250				-0.254	-0.707	289.027	-0.0061	-0.017	6.900		277.250				1.169	14.467	-103.673	0.0279	0.345	-2.475	
277.300				0.182	13.650	159.122	0.0044	0.326	3.799	-0.2	277.300				1.687	4.115	-242.217	0.0403	0.098	-5.782	28.5
277.350				1.111	15.205	-88.593	0.0265	0.363	-2.115		277.350				1.580	-9.755	-216.142	0.0377	-0.233	-5.160	
277.400	168.87	99.27	69.60	1.703	4.791	-252.270	0.0407	0.114	-6.022	-0.2	277.400	110.95	99.26	11.69	0.712	-17.499	14.923	0.0170	-0.418	0.356	28.5
277.450				1.590	-10.022	-221.482	0.0380	-0.239	-5.287		277.450				-0.170	-8.262	266.407	-0.0040	-0.197	6.360	
277.500				0.701	-17.357	18.378	0.0167	-0.414	0.439	-0.2	277.500				-0.115	9.142	245.516	-0.0027	0.218	5.861	28.5
277.550				-0.146	-8.184	257.925	-0.0035	-0.195	6.157		277.550				0.745	16.289	6.440	0.0178	0.389	0.154	
277.600	128.25	99.27	28.98	-0.118	8.435	245.044	-0.0028	0.201	5.850	-0.1	277.600	194.10	99.26	94.83	1.514	9.786	-193.208	0.0362	0.234	-4.613	28.6
277.650				0.697	16.321	20.263	0.0167	0.390	0.484		277.650				1.723	-3.032	-252.584	0.0411	-0.072	-6.030	
277.700				1.514	10.462	-199.177	0.0362	0.250	-4.755	-0.1	277.700				1.211	-15.472	-118.595	0.0289	-0.369	-2.831	28.6
277.750				1.744	-3.597	-264.836	0.0416	-0.086	-6.323		277.750				0.176	-14.891	165.091	0.0042	-0.355	3.941	
277.800	99.12	99.26	-0.14	1.155	-16.022	-104.615	0.0276	-0.382	-2.497	-0.1	277.800	117.39	99.26	18.13	-0.278	1.037	297.352	-0.0066	0.025	7.099	28.6
277.850				0.141	-14.059	175.772	0.0034	-0.336	4.196		277.850				0.280	14.844	131.476	0.0067	0.354	3.139	
277.900				-0.251	1.555	287.770	-0.0060	0.037	6.870	-0.1	277.900				1.206	14.184	-113.883	0.0288	0.339	-2.719	28.7
277.950				0.297	14.718	128.020	0.0071	0.351	3.056		277.950				1.698	3.456	-245.987	0.0405	0.083	-5.872	
278.000	169.86	99.27	70.59	1.221	14.357	-117.967	0.0291	0.343	-2.816	-0.1	278.000	132.18	99.26	32.92	1.552	-10.414	-209.073	0.0371	-0.249	-4.991	28.7
278.050				1.733	2.922	-260.909	0.0414	0.070	-6.229		278.050				0.657	-17.452	30.316	0.0157	-0.417	0.724	
278.100				1.513	-11.734	-200.591	0.0361	-0.280	-4.789	0.0	278.100				-0.193	-7.383	273.790	-0.0046	-0.176	6.536	28.7
278.150				0.559	-17.137	57.805	0.0134	-0.409	1.380		278.150				-0.082	9.927	236.719	-0.0019	0.237	5.651	
278.200	111.07	99.27	11.81	-0.201	-5.953	274.890	-0.0048	-0.142	6.562	0.0	278.200	169.24	99.26	69.98	0.800	16.289	-8.011	0.0191	0.389	-0.191	28.7
278.250				-0.036	10.352	221.954	-8.6250E-4	0.247	5.299		278.250				1.547	9.126	-204.361	0.0369	0.218	-4.879	
278.300				0.834	16.242	-15.551	0.0199	0.388	-0.371	0.0	278.300				1.712	-4.147	-252.113	0.0409	-0.099	-6.019	28.8
278.350				1.588	8.796	-219.126	0.0379	0.210	-5.231		278.350				1.133	-16.085	-98.646	0.0270	-0.384	-2.355	
278.400	147.65	99.26	48.39	1.714	-5.671	-255.883	0.0409	-0.135	-6.109	0.0	278.400	107.45	99.26	8.19	0.104	-14.012	186.140	0.0025	-0.335	4.444	28.8
278.450				1.021	-16.792	-68.330	0.0244	-0.401	-1.631		278.450				-0.269	2.529	293.896	-0.0064	0.060	7.016	
278.500				0.035	-12.504	206.560	8.2500E-4	-0.299	4.931	0.0	278.500				0.357	15.378	110.270	0.0085	0.367	2.632	28.8
278.550				-0.229	3.864	280.859	-0.0055	0.092	6.705		278.550				1.269	13.556	-130.219	0.0303	0.324	-3.109	
278.600	156.90	99.27	57.63	0.421	15.582	94.248	0.0101	0.372	2.250	0.0	278.600	164.99	99.26	65.74	1.712	2.356	-249.757	0.0409	0.056	-5.963	28.9
278.650				1.329	13.289	-148.126	0.0317	0.317	-3.536		278.650				1.505	-11.420	-196.350	0.0359	-0.273	-4.688	
278.700				1.750	0.770	-266.721	0.0418	0.018	-6.368	0.1	278.700				0.570	-17.279	53.564	0.0136	-0.413	1.279	28.9
278.750				1.406	-13.383	-171.845	0.0336	-0.320	-4.103		278.750				-0.223	-6.063	281.644	-0.0053	-0.145	6.724	
278.800	102.95	99.26	3.69	0.412	-16.415	98.175	0.0098	-0.392	2.344	0.1	278.800	138.86	99.26	39.60	-0.036	10.886	221.954	-8.6250E-4	0.260	5.299	28.9
278.850				-0.236	-3.566	283.843	-0.0056	-0.085	6.776		278.850				0.866	16.132	-25.133	0.0207	0.385	-0.600	
278.900				0.055	11.969	195.093	0.0013	0.286	4.658	0.1	278.900				1.577	8.372	-211.115	0.0377	0.200	-5.040	28.9
278.950				0.961	15.944	-49.009	0.0230	0.381	-1.170		278.950				1.703	-4.979	-248.657	0.0407	-0.119	-5.936	
279.000	165.60	99.27	66.34	1.649	7.069	-236.876	0.0394	0.169	-5.655	0.1	279.000	111.84	99.25	12.59	1.079	-16.493	-83.724	0.0258	-0.394	-1.999	29.0
279.050				1.668	-7.744	-243.159	0.0398	-0.185	-5.805		279.050				0.053	-13.352	201.219	0.0013	-0.319	4.804	
279.100				0.875	-17.247	-29.060	0.0209	-0.412	-0.694	0.1	279.100				-0.256	3.629	290.755	-0.0061	0.087	6.941	29.0
279.150				-0.057	-10.650	232.635	-0.0013	-0.254	5.554		279.150				0.416	15.724	94.091	0.0099	0.375	2.246	
279.200	135.34	99.27	36.07	-0.190	6.016	267.193	-0.0045	0.144	6.379	0.1	279.200	196.09	99.26	96.82	1.316	13.038	-142.628	0.0314	0.311	-3.405	29.0
279.250				0.545	16.069	60.947	0.0130	0.384	1.455		279.250				1.720	1.461	-253.370	0.0411	0.035	-6.049	
279.300				1.417	12.111	-172.316	0.0338	0.289	-4.114	0.1	279.300				1.462	-12.299	-185.668	0.0349	-0.294	-4.432	29.0
279.350				1.756	-1.162	-268.606	0.0419	-0.028	-6.413		279.350				0.490	-17.106	76.655	0.0117	-0.408	1.830	
