Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
5,360	0,30	0,03	0,54
5,380	0,30	0,03	0,43
5,400	0,30	0,04	0,54
5,420	0,30	0,06	0,54
5,440	0,30	0,06	0,53
5,460	0,30	0,08	0,65
5,480	0,30	0,09	0,54
5,500	0,31	0,10	0,43
5,520	0,31	0,11	0,32
5,540	0,31	0,11	0,32
5,560	0,31	0,12	0,43
5,580	0,32	0,13	0,32
5,600	0,32	0,13	0,32
5,620	0,32	0,14	0,43
5,640	0,32	0,15	0,43
5,660	0,33	0,16	0,43
5,680	0,33	0,17	0,33
5,700	0,33	0,17	0,21
5,720	0,34	0,18	0,22
5,740	0,34	0,18	0,11
5,760	0,34	0,18	0,10
5,780	0,35	0,18	0,21
5,800	0,35	0,19	0,22
5,820	0,36	0,19	0,11
5,840	0,36	0,19	-0,01
5,860	0,36	0,19	0,11
5,880	0,37	0,20	0,11
5,900	0,37	0,20	-3,23E-13
5,920	0,37	0,20	2,19E-13
5,940	0,38	0,20	0,01
5,960	0,38	0,20	-0,11
5,980	0,39	0,19	-0,11
6,000	0,39	0,19	-0,10
6,020	0,39	0,19	-0,32
6,040	0,40	0,18	-0,33
6,060	0,40	0,18	-0,11
6,080	0,41	0,18	-0,09
6,100	0,41	0,17	-0,33
6,120	0,41	0,16	-0,22
6,140	0,42	0,16	-0,09
6,160	0,42	0,16	-0,32
6,180	0,42	0,15	-0,44
6,200	0,42	0,14	-0,32
6,220	0,43	0,14	-0,32
6,240	0,43	0,13	-0,43
6,260	0,43	0,12	-0,42
6,280	0,44	0,11	-0,54
6,300	0,44	0,10	-0,44
6,320	0,44	0,09	-0,21
6,340	0,44	0,09	-0,30
6,360	0,44	0,08	-0,64
6,380	0,44	0,07	-0,67
6,400	0,45	0,06	-0,20
6,420	0,45	0,06	-0,41
6,440	0,45	0,04	-0,77
6,460	0,45	0,03	-0,54
6,480	0,45	0,02	-0,43
6,500	0,45	0,01	-0,42
6,520	0,45	8,41E-4	-0,54
6,540	0,45	-0,01	-0,44
6,560	0,45	-0,02	-0,30
6,580	0,45	-0,02	-0,65
6,600	0,45	-0,04	-0,67
6,620	0,45	-0,05	-0,32
6,640	0,45	-0,06	-0,42
6,660	0,44	-0,07	-0,54
6,680	0,44	-0,08	-0,43
6,700	0,44	-0,09	-0,43
6,720	0,44	-0,09	-0,42
6,740	0,44	-0,10	-0,54
6,760	0,44	-0,12	-0,44
6,780	0,43	-0,12	-0,21
6,800	0,43	-0,12	-0,32
6,820	0,43	-0,13	-0,44
6,840	0,43	-0,14	-0,33
6,860	0,42	-0,15	-0,22
6,880	0,42	-0,15	-0,22
6,900	0,42	-0,15	-0,21
6,920	0,41	-0,16	-0,33
6,940	0,41	-0,17	-0,22
6,960	0,41	-0,17	-0,10
6,980	0,40	-0,17	-0,33
7,000	0,40	-0,18	-0,23
7,020	0,40	-0,18	-1,35E-13
7,040	0,39	-0,18	0,01
7,060	0,39	-0,18	-0,11
7,080	0,38	-0,18	-0,11
