Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2
Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²)
4,550;11,946;-6,330;-133,047;0,2852;-0,151;-3,176;4,550;11,222;15,912;-130,533;0,2679;0,380;-3,116
4,600;11,462;-12,833;-126,135;0,2736;-0,306;-3,011;4,600;11,853;9,189;-136,188;0,2830;0,219;-3,251
4,650;10,663;-18,944;-116,396;0,2546;-0,452;-2,779;4,650;12,141;2,293;-137,131;0,2898;0,055;-3,274
4,700;9,568;-24,473;-102,573;0,2284;-0,584;-2,449;4,700;12,083;-4,524;-133,832;0,2884;-0,108;-3,195
4,750;8,215;-29,201;-86,865;0,1961;-0,697;-2,074;4,750;11,688;-11,090;-127,706;0,2790;-0,265;-3,049
4,800;6,648;-33,160;-70,686;0,1587;-0,792;-1,688;4,800;10,974;-17,294;-118,752;0,2620;-0,413;-2,835
4,850;4,899;-36,270;-50,580;0,1170;-0,866;-1,208;4,850;9,959;-22,965;-105,872;0,2377;-0,548;-2,528
4,900;3,021;-38,218;-27,489;0,0721;-0,912;-0,656;4,900;8,677;-27,882;-90,478;0,2071;-0,666;-2,160
4,950;1,078;-39,019;-6,126;0,0257;-0,932;-0,146;4,950;7,171;-32,013;-74,613;0,1712;-0,764;-1,781
5,000;-0,881;-38,830;16,179;-0,0210;-0,927;0,386;5,000;5,476;-35,343;-55,920;0,1307;-0,844;-1,335
5,050;-2,805;-37,401;40,841;-0,0670;-0,893;0,975;5,050;3,636;-37,605;-33,458;0,0868;-0,898;-0,799
5,100;-4,621;-34,746;62,204;-0,1103;-0,829;1,485;5,100;1,715;-38,689;-11,467;0,0409;-0,924;-0,274
5,150;-6,280;-31,180;80,582;-0,1499;-0,744;1,924;5,150;-0,232;-38,752;10,053;-0,0056;-0,925;0,240
5,200;-7,739;-26,688;98,175;-0,1848;-0,637;2,344;5,200;-2,160;-37,683;34,086;-0,0516;-0,900;0,814
5,250;-8,949;-21,363;113,097;-0,2136;-0,510;2,700;5,250;-4,001;-35,343;56,863;-0,0955;-0,844;1,358
5,300;-9,876;-15,378;123,936;-0,2358;-0,367;2,959;5,300;-5,694;-31,997;75,398;-0,1359;-0,764;1,800
5,350;-10,487;-8,969;129,591;-0,2503;-0,214;3,094;5,350;-7,201;-27,803;92,834;-0,1719;-0,664;2,216
5,400;-10,773;-2,419;130,376;-0,2572;-0,058;3,113;5,400;-8,474;-22,714;109,013;-0,2023;-0,542;2,603
5,450;-10,729;4,068;126,606;-0,2561;0,097;3,023;5,450;-9,472;-16,902;120,794;-0,2261;-0,404;2,884
5,500;-10,366;10,242;119,852;-0,2475;0,244;2,861;5,500;-10,165;-10,634;127,863;-0,2427;-0,254;3,053
5,550;-9,704;16,054;111,212;-0,2317;0,383;2,655;5,550;-10,535;-4,115;129,905;-0,2515;-0,098;3,101
5,600;-8,760;21,363;98,803;-0,2091;0,510;2,359;5,600;-10,576;2,356;126,763;-0,2525;0,056;3,026
5,650;-7,568;25,934;82,938;-0,1807;0,619;1,980;5,650;-10,300;8,561;120,951;-0,2459;0,204;2,888
5,700;-6,167;29,657;65,502;-0,1472;0,708;1,564;5,700;-9,720;14,451;112,940;-0,2321;0,345;2,696
5,750;-4,602;32,484;47,595;-0,1099;0,776;1,136;5,750;-8,855;19,855;101,474;-0,2114;0,474;2,422
5,800;-2,919;34,416;27,175;-0,0697;0,822;0,649;5,800;-7,735;24,599;86,865;-0,1847;0,587;2,074
5,850;-1,161;35,202;4,241;-0,0277;0,840;0,101;5,850;-6,395;28,541;69,900;-0,1527;0,681;1,669
5,900;0,602;34,840;-15,865;0,0144;0,832;-0,379;5,900;-4,880;31,589;52,308;-0,1165;0,754;1,249
5,950;2,323;33,615;-33,772;0,0555;0,803;-0,806;5,950;-3,236;33,772;32,516;-0,0773;0,806;0,776
6,000;3,963;31,463;-52,622;0,0946;0,751;-1,256;6,000;-1,503;34,840;9,896;-0,0359;0,832;0,236
6,050;5,470;28,353;-70,215;0,1306;0,677;-1,676;6,050;0,248;34,762;-10,367;0,0059;0,830;-0,247
6,100;6,798;24,442;-84,352;0,1623;0,583;-2,014;6,100;1,973;33,804;-28,431;0,0471;0,807;-0,679
6,150;7,914;19,918;-95,347;0,1889;0,476;-2,276;6,150;3,629;31,919;-47,438;0,0866;0,762;-1,133
6,200;8,790;14,907;-104,301;0,2099;0,356;-2,490;6,200;5,165;29,060;-65,502;0,1233;0,694;-1,564
6,250;9,404;9,488;-110,741;0,2245;0,226;-2,644;6,250;6,535;25,368;-80,425;0,1560;0,606;-1,920
6,300;9,739;3,833;-112,783;0,2325;0,091;-2,692;6,300;7,702;21,017;-92,049;0,1839;0,502;-2,197
6,350;9,788;-1,791;-110,584;0,2337;-0,043;-2,640;6,350;8,636;16,164;-101,159;0,2062;0,386;-2,415
6,400;9,560;-7,226;-105,872;0,2282;-0,173;-2,528;6,400;9,318;10,901;-108,385;0,2224;0,260;-2,588
6,450;9,065;-12,378;-98,803;0,2164;-0,296;-2,359;6,450;9,726;5,325;-111,998;0,2322;0,127;-2,674
6,500;8,322;-17,106;-89,535;0,1987;-0,408;-2,137;6,500;9,850;-0,298;-110,741;0,2352;-0,007;-2,644
6,550;7,354;-21,331;-79,011;0,1756;-0,509;-1,886;6,550;9,697;-5,749;-106,343;0,2315;-0,137;-2,539
6,600;6,189;-25,007;-66,602;0,1478;-0,597;-1,590;6,600;9,276;-10,933;-100,060;0,2214;-0,261;-2,389
6,650;4,854;-27,992;-51,051;0,1159;-0,668;-1,219;6,650;8,603;-15,755;-91,735;0,2054;-0,376;-2,190
6,700;3,390;-30,112;-32,987;0,0809;-0,719;-0,787;6,700;7,700;-20,106;-81,524;0,1838;-0,480;-1,946
6,750;1,843;-31,290;-15,080;0,0440;-0,747;-0,360;6,750;6,593;-23,908;-69,429;0,1574;-0,571;-1,657
6,800;0,261;-31,620;2,042;0,0062;-0,755;0,049;6,800;5,309;-27,049;-54,821;0,1267;-0,646;-1,309
6,850;-1,319;-31,086;20,892;-0,0315;-0,742;0,499;6,850;3,888;-29,390;-37,542;0,0928;-0,702;-0,896
6,900;-2,848;-29,531;40,527;-0,0680;-0,705;0,968;6,900;2,370;-30,803;-19,478;0,0566;-0,735;-0,465
6,950;-4,273;-27,033;57,334;-0,1020;-0,645;1,369;6,950;0,807;-31,337;-2,356;0,0193;-0,748;-0,056
7,000;-5,551;-23,798;71,000;-0,1325;-0,568;1,695;7,000;-0,763;-31,039;15,708;-0,0182;-0,741;0,375
7,050;-6,652;-19,933;83,724;-0,1588;-0,476;1,999;7,050;-2,297;-29,767;35,186;-0,0548;-0,711;0,840
7,100;-7,545;-15,425;95,033;-0,1801;-0,368;2,269;7,100;-3,740;-27,520;52,779;-0,0893;-0,657;1,260
7,150;-8,195;-10,430;102,730;-0,1956;-0,249;2,453;7,150;-5,049;-24,489;66,916;-0,1205;-0,585;1,597
7,200;-8,588;-5,152;106,186;-0,2050;-0,123;2,535;7,200;-6,189;-20,829;79,639;-0,1478;-0,497;1,901
7,250;-8,710;0,188;104,772;-0,2079;0,004;2,501;7,250;-7,131;-16,525;91,577;-0,1703;-0,394;2,186
7,300;-8,569;5,325;99,903;-0,2046;0,127;2,385;7,300;-7,841;-11,671;100,217;-0,1872;-0,279;2,392
7,350;-8,178;10,179;93,305;-0,1952;0,243;2,228;7,350;-8,299;-6,503;104,458;-0,1981;-0,155;2,494
7,400;-7,551;14,656;84,509;-0,1803;0,350;2,018;7,400;-8,492;-1,225;104,301;-0,2027;-0,029;2,490
7,450;-6,712;18,630;73,356;-0,1602;0,445;1,751;7,450;-8,421;3,927;100,531;-0,2010;0,094;2,400
7,500;-5,688;21,991;60,790;-0,1358;0,525;1,451;7,500;-8,099;8,828;94,562;-0,1934;0,211;2,257
7,550;-4,513;24,709;47,595;-0,1077;0,590;1,136;7,550;-7,538;13,383;86,237;-0,1800;0,319;2,059
7,600;-3,217;26,751;31,573;-0,0768;0,639;0,754;7,600;-6,761;17,452;75,870;-0,1614;0,417;1,811
7,650;-1,838;27,866;13,352;-0,0439;0,665;0,319;7,650;-5,793;20,970;63,774;-0,1383;0,501;1,523
7,700;-0,430;28,086;-3,299;-0,0103;0,671;-0,079;7,700;-4,664;23,829;50,423;-0,1113;0,569;1,204
7,750;0,971;27,536;-18,535;0,0232;0,657;-0,443;7,750;-3,410;26,012;35,500;-0,0814;0,621;0,847
7,800;2,323;26,232;-33,301;0,0555;0,626;-0,795;7,800;-2,062;27,379;18,221;-0,0492;0,654;0,435
7,850;3,594;24,206;-47,752;0,0858;0,578;-1,140;7,850;-0,672;27,835;0,942;-0,0161;0,665;0,023
7,900;4,744;21,457;-60,790;0,1133;0,512;-1,451;7,900;0,721;27,473;-14,608;0,0172;0,656;-0,349
7,950;5,740;18,127;-71,628;0,1370;0,433;-1,710;7,950;2,075;26,374;-29,060;0,0495;0,630;-0,694
8,000;6,557;14,294;-80,425;0,1565;0,341;-1,920;8,000;3,358;24,567;-43,668;0,0802;0,586;-1,042
8,050;7,169;10,085;-86,237;0,1712;0,241;-2,059;8,050;4,532;22,007;-57,177;0,1082;0,525;-1,365
8,100;7,565;5,671;-89,378;0,1806;0,135;-2,134;8,100;5,559;18,850;-68,173;0,1327;0,450;-1,628
8,150;7,736;1,147;-89,221;0,1847;0,027;-2,130;8,150;6,417;15,190;-77,283;0,1532;0,363;-1,845
8,200;7,680;-3,252;-85,766;0,1833;-0,078;-2,048;8,200;7,078;11,121;-84,038;0,1690;0,265;-2,006
8,250;7,411;-7,430;-81,210;0,1769;-0,177;-1,939;8,250;7,529;6,786;-87,965;0,1797;0,162;-2,100
8,300;6,937;-11,373;-75,555;0,1656;-0,271;-1,804;8,300;7,757;2,325;-88,593;0,1852;0,056;-2,115
8,350;6,274;-14,985;-68,016;0,1498;-0,358;-1,624;8,350;7,761;-2,073;-86,237;0,1853;-0,050;-2,059
8,400;5,438;-18,174;-58,277;0,1298;-0,434;-1,391;8,400;7,549;-6,299;-81,996;0,1802;-0,150;-1,957
8,450;4,456;-20,813;-46,810;0,1064;-0,497;-1,118;8,450;7,131;-10,273;-76,341;0,1702;-0,245;-1,823
8,500;3,357;-22,855;-33,772;0,0801;-0,546;-0,806;8,500;6,522;-13,933;-69,272;0,1557;-0,333;-1,654
