Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
4,840	0,42	0,14	-0,32
4,860	0,42	0,13	-0,42
4,880	0,42	0,12	-0,65
4,900	0,42	0,11	-0,54
4,920	0,43	0,10	-0,43
4,940	0,43	0,09	-0,42
4,960	0,43	0,08	-0,53
4,980	0,43	0,07	-0,65
5,000	0,43	0,06	-0,54
5,020	0,43	0,05	-0,53
5,040	0,43	0,04	-0,65
5,060	0,43	0,02	-0,54
5,080	0,43	0,01	-0,53
5,100	0,43	8,15E-4	-0,65
5,120	0,43	-0,01	-0,54
5,140	0,43	-0,02	-0,53
5,160	0,43	-0,03	-0,66
5,180	0,43	-0,05	-0,43
5,200	0,43	-0,05	-0,42
5,220	0,43	-0,06	-0,65
5,240	0,43	-0,08	-0,54
5,260	0,43	-0,09	-0,54
5,280	0,43	-0,10	-0,54
5,300	0,42	-0,11	-0,54
5,320	0,42	-0,12	-0,55
5,340	0,42	-0,13	-0,32
5,360	0,42	-0,13	-0,42
5,380	0,41	-0,15	-0,55
5,400	0,41	-0,15	-0,32
5,420	0,41	-0,16	-0,32
5,440	0,40	-0,17	-0,32
5,460	0,40	-0,17	-0,32
5,480	0,40	-0,18	-0,44
5,500	0,39	-0,19	-0,32
5,520	0,39	-0,19	-0,32
5,540	0,39	-0,20	-0,34
5,560	0,38	-0,21	-0,11
5,580	0,38	-0,21	-0,10
5,600	0,37	-0,21	-0,22
5,620	0,37	-0,22	-0,11
5,640	0,37	-0,21	-0,10
5,660	0,36	-0,22	-0,23
5,680	0,36	-0,22	-0,01
5,700	0,35	-0,22	0,12
5,720	0,35	-0,22	-0,11
5,740	0,34	-0,22	-0,01
5,760	0,34	-0,22	0,22
5,780	0,33	-0,22	0,11
5,800	0,33	-0,22	-0,01
5,820	0,33	-0,22	0,10
5,840	0,32	-0,21	0,33
5,860	0,32	-0,20	0,22
5,880	0,31	-0,20	0,10
5,900	0,31	-0,20	0,32
5,920	0,31	-0,19	0,33
5,940	0,30	-0,19	0,21
5,960	0,30	-0,18	0,32
5,980	0,29	-0,17	0,43
6,000	0,29	-0,16	0,43
6,020	0,29	-0,16	0,43
6,040	0,28	-0,15	0,32
6,060	0,28	-0,14	0,43
6,080	0,28	-0,13	0,54
6,100	0,28	-0,12	0,43
6,120	0,27	-0,11	0,54
6,140	0,27	-0,10	0,54
6,160	0,27	-0,09	0,43
6,180	0,27	-0,08	0,53
6,200	0,27	-0,07	0,65
6,220	0,27	-0,06	0,54
6,240	0,26	-0,05	0,43
6,260	0,26	-0,04	0,53
6,280	0,26	-0,03	0,65
6,300	0,26	-0,01	0,65
6,320	0,26	-4,93E-4	0,65
6,340	0,26	0,01	0,54
6,360	0,26	0,02	0,43
6,380	0,26	0,03	0,53
6,400	0,26	0,04	0,65
6,420	0,27	0,06	0,54
6,440	0,27	0,06	0,54
6,460	0,27	0,08	0,54
6,480	0,27	0,09	0,43
6,500	0,27	0,09	0,53
6,520	0,27	0,11	0,65
6,540	0,28	0,12	0,55
6,560	0,28	0,13	0,32
6,580	0,28	0,13	0,43
6,600	0,28	0,15	0,55
6,620	0,29	0,15	0,32
6,640	0,29	0,16	0,32
6,660	0,29	0,17	0,32
6,680	0,30	0,17	0,32
6,700	0,30	0,18	0,43
6,720	0,30	0,19	0,33
6,740	0,31	0,19	0,21
6,760	0,31	0,20	0,21
6,780	0,32	0,20	0,22
6,800	0,32	0,21	0,11
6,820	0,32	0,21	0,10
6,840	0,33	0,21	0,22
6,860	0,33	0,21	0,11
6,880	0,34	0,21	-0,01
6,900	0,34	0,21	0,11
6,920	0,34	0,22	0,12
6,940	0,35	0,22	-0,11
6,960	0,35	0,21	-0,11
6,980	0,36	0,21	0,01
7,000	0,36	0,22	-0,11
7,020	0,37	0,21	-0,11
7,040	0,37	0,21	-0,10
7,060	0,37	0,21	-0,33
7,080	0,38	0,20	-0,22
7,100	0,38	0,20	-0,10
7,120	0,39	0,19	-0,32
7,140	0,39	0,19	-0,33
7,160	0,39	0,18	-0,20
7,180	0,40	0,18	-0,42
7,200	0,40	0,16	-0,55
7,220	0,40	0,15	-0,32
7,240	0,41	0,15	-0,32
7,260	0,41	0,14	-0,43
7,280	0,41	0,13	-0,44
7,300	0,42	0,12	-0,32
7,320	0,42	0,12	-0,42
7,340	0,42	0,11	-0,66
7,360	0,42	0,09	-0,43
7,380	0,42	0,09	-0,42
7,400	0,43	0,08	-0,65
7,420	0,43	0,07	-0,54
7,440	0,43	0,06	-0,43
7,460	0,43	0,05	-0,42
7,480	0,43	0,04	-0,53
7,500	0,43	0,03	-0,64
7,520	0,43	0,01	-0,64
7,540	0,43	8,09E-4	-0,66
7,560	0,43	-0,01	-0,43
7,580	0,43	-0,02	-0,42
7,600	0,43	-0,03	-0,65
7,620	0,43	-0,04	-0,54
7,640	0,43	-0,05	-0,54
7,660	0,43	-0,06	-0,54
7,680	0,43	-0,07	-0,42
7,700	0,43	-0,08	-0,54
7,720	0,42	-0,09	-0,54
7,740	0,42	-0,10	-0,42
7,760	0,42	-0,11	-0,54
7,780	0,42	-0,12	-0,44
7,800	0,41	-0,13	-0,31
7,820	0,41	-0,14	-0,55
7,840	0,41	-0,15	-0,34
7,860	0,41	-0,15	-0,09
7,880	0,40	-0,15	-0,42
7,900	0,40	-0,17	-0,54
7,920	0,40	-0,18	-0,44
7,940	0,39	-0,18	-0,34
7,960	0,39	-0,19	-0,11
7,980	0,39	-0,19	-0,10
8,000	0,38	-0,19	-0,32
8,020	0,38	-0,20	-0,33
8,040	0,37	-0,21	-0,11
8,060	0,37	-0,21	-0,11
8,080	0,37	-0,21	-0,11
8,100	0,36	-0,21	0,01
8,120	0,36	-0,21	-0,11
8,140	0,35	-0,22	-0,12
8,160	0,35	-0,22	0,11
8,180	0,34	-0,21	0,11
8,200	0,34	-0,21	-0,01
8,220	0,34	-0,21	0,11
8,240	0,33	-0,21	0,11
8,260	0,33	-0,21	0,10
8,280	0,32	-0,20	0,22
8,300	0,32	-0,20	0,10
8,320	0,31	-0,20	0,21
8,340	0,31	-0,19	0,33
8,360	0,31	-0,19	0,21
8,380	0,30	-0,18	0,32
8,400	0,30	-0,17	0,43
8,420	0,30	-0,16	0,44
8,440	0,29	-0,16	0,33
8,460	0,29	-0,15	0,21
8,480	0,29	-0,15	0,31
8,500	0,28	-0,14	0,54
8,520	0,28	-0,13	0,54
8,540	0,28	-0,12	0,43
8,560	0,28	-0,11	0,43
8,580	0,28	-0,10	0,43
8,600	0,27	-0,09	0,53
8,620	0,27	-0,08	0,65
8,640	0,27	-0,06	0,54
8,660	0,27	-0,06	0,43
8,680	0,27	-0,05	0,43
8,700	0,27	-0,04	0,53
8,720	0,27	-0,03	0,65
8,740	0,27	-0,01	0,54
8,760	0,27	0,00	0,53
8,780	0,27	0,01	0,65
8,800	0,27	0,02	0,54
8,820	0,27	0,03	0,43
8,840	0,27	0,04	0,53
8,860	0,27	0,05	0,65
8,880	0,27	0,06	0,54
8,900	0,27	0,07	0,43
8,920	0,27	0,08	0,43
8,940	0,27	0,09	0,54
8,960	0,28	0,10	0,54
8,980	0,28	0,11	0,43
9,000	0,28	0,12	0,43
9,020	0,28	0,13	0,43
9,040	0,29	0,14	0,43
9,060	0,29	0,15	0,32
9,080	0,29	0,15	0,42
9,100	0,29	0,16	0,55
9,120	0,30	0,17	0,22
9,140	0,30	0,17	0,10
9,160	0,30	0,18	0,32
9,180	0,31	0,18	0,33
9,200	0,31	0,19	0,21
9,220	0,32	0,19	0,21
9,240	0,32	0,20	0,22
9,260	0,32	0,20	0,11
9,280	0,33	0,20	-0,01
