Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
10,850	0,126	0,000	0,000	0,0030	0,000	0,000	10,850	-0,011	-0,094	0,314	-2,6250E-4	-0,002	0,007
10,900	0,126	0,000	0,000	0,0030	0,000	0,000	10,900	-0,016	-0,063	0,628	-3,7500E-4	-0,002	0,015
10,950	0,126	0,000	0,000	0,0030	0,000	0,000	10,950	-0,017	-0,031	0,471	-4,1250E-4	-7,500E-4	0,011
11,000	0,126	0,000	0,000	0,0030	0,000	0,000	11,000	-0,019	-0,016	0,314	-4,5000E-4	-3,750E-4	0,007
11,050	0,126	0,000	0,000	0,0030	0,000	0,000	11,050	-0,019	0,000	0,157	-4,5000E-4	0,000	0,004
11,100	0,126	0,000	0,000	0,0030	0,000	0,000	11,100	-0,019	0,000	0,000	-4,5000E-4	0,000	0,000
11,150	0,126	0,000	0,000	0,0030	0,000	0,000	11,150	-0,019	0,000	-0,157	-4,5000E-4	0,000	-0,004
11,200	0,126	0,000	0,000	0,0030	0,000	0,000	11,200	-0,019	-0,016	-0,157	-4,5000E-4	-3,750E-4	-0,004
11,250	0,126	0,000	0,000	0,0030	0,000	0,000	11,250	-0,020	-0,016	0,157	-4,8750E-4	-3,750E-4	0,004
11,300	0,126	0,000	0,000	0,0030	0,000	0,000	11,300	-0,020	0,000	0,157	-4,8750E-4	0,000	0,004
11,350	0,126	0,000	0,000	0,0030	0,000	0,000	11,350	-0,020	0,000	0,000	-4,8750E-4	0,000	0,000
11,400	0,126	0,000	0,000	0,0030	0,000	0,000	11,400	-0,020	0,000	0,000	-4,8750E-4	0,000	0,000
11,450	0,126	0,000	0,000	0,0030	0,000	0,000	11,450	-0,020	0,000	0,000	-4,8750E-4	0,000	0,000
11,500	0,126	0,000	0,000	0,0030	0,000	0,000	11,500	-0,020	0,000	0,000	-4,8750E-4	0,000	0,000
11,550	0,126	0,000	0,000	0,0030	0,000	0,000	11,550	-0,020	0,000	0,000	-4,8750E-4	0,000	0,000
11,600	0,126	0,000	0,000	0,0030	0,000	0,000	11,600	-0,020	0,000	-0,157	-4,8750E-4	0,000	-0,004
11,650	0,126	0,000	0,000	0,0030	0,000	0,000	11,650	-0,020	-0,016	-0,157	-4,8750E-4	-3,750E-4	-0,004
11,700	0,126	0,000	0,000	0,0030	0,000	0,000	11,700	-0,022	-0,016	0,157	-5,2500E-4	-3,750E-4	0,004
11,750	0,126	0,000	0,000	0,0030	0,000	0,000	11,750	-0,022	0,000	0,157	-5,2500E-4	0,000	0,004
11,800	0,126	0,000	0,000	0,0030	0,000	0,000	11,800	-0,022	0,000	0,000	-5,2500E-4	0,000	0,000
11,850	0,126	0,000	0,000	0,0030	0,000	0,000	11,850	-0,022	0,000	0,000	-5,2500E-4	0,000	0,000
11,900	0,126	0,000	0,000	0,0030	0,000	0,000	11,900	-0,022	0,000	0,000	-5,2500E-4	0,000	0,000
11,950	0,126	0,000	0,000	0,0030	0,000	0,000	11,950	-0,022	0,000	0,000	-5,2500E-4	0,000	0,000
12,000	0,126	0,000	0,000	0,0030	0,000	0,000	12,000	-0,022	0,000	0,000	-5,2500E-4	0,000	0,000
12,050	0,126	0,000	0,000	0,0030	0,000	0,000	12,050	-0,022	0,000	0,000	-5,2500E-4	0,000	0,000
12,100	0,126	0,000	0,000	0,0030	0,000	0,000	12,100	-0,022	0,000	0,000	-5,2500E-4	0,000	0,000
12,150	0,126	0,000	0,000	0,0030	0,000	0,000	12,150	-0,022	0,000	0,000	-5,2500E-4	0,000	0,000
12,200	0,126	0,000		0,0030	0,000		12,200	-0,022	0,000	0,000	-5,2500E-4	0,000	0,000
							12,250	-0,022	0,000	0,000	-5,2500E-4	0,000	0,000
							12,300	-0,022	0,000	0,000	-5,2500E-4	0,000	0,000
							12,350	-0,022	0,000		-5,2500E-4	0,000	
