Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
12,100	-0,024	-0,314	-0,942	-5,6250E-4	-0,008	-0,023
12,150	-0,041	-0,346	-0,471	-9,7500E-4	-0,008	-0,011
12,200	-0,058	-0,361	-0,471	-0,0014	-0,009	-0,011
12,250	-0,077	-0,393	-0,471	-0,0018	-0,009	-0,011
12,300	-0,097	-0,408	-0,314	-0,0023	-0,010	-0,007
12,350	-0,118	-0,424	-0,314	-0,0028	-0,010	-0,008
12,400	-0,140	-0,440	-0,314	-0,0033	-0,011	-0,008
12,450	-0,162	-0,456	-0,471	-0,0039	-0,011	-0,011
12,500	-0,185	-0,487	-0,471	-0,0044	-0,012	-0,011
12,550	-0,210	-0,503	-0,471	-0,0050	-0,012	-0,011
12,600	-0,236	-0,534	-0,628	-0,0056	-0,013	-0,015
12,650	-0,264	-0,565	-0,314	-0,0063	-0,014	-0,008
12,700	-0,292	-0,565	-0,157	-0,0070	-0,014	-0,004
12,750	-0,320	-0,581	-0,471	-0,0077	-0,014	-0,011
12,800	-0,350	-0,613	-0,471	-0,0084	-0,015	-0,011
12,850	-0,382	-0,628	-0,314	-0,0091	-0,015	-0,008
12,900	-0,413	-0,644	-0,314	-0,0099	-0,015	-0,008
12,950	-0,446	-0,660	-0,157	-0,0107	-0,016	-0,004
13,000	-0,479	-0,660	-0,157	-0,0114	-0,016	-0,004
13,050	-0,512	-0,675	-0,157	-0,0122	-0,016	-0,004
13,100	-0,547	-0,675	-1,199E-13	-0,0131	-0,016	-2,880E-15
13,150	-0,580	-0,675	-0,157	-0,0138	-0,016	-0,004
13,200	-0,614	-0,691	-0,157	-0,0147	-0,017	-0,004
13,250	-0,649	-0,691	2,454E-13	-0,0155	-0,017	5,863E-15
13,300	-0,683	-0,691	0,000	-0,0163	-0,016	0,000
13,350	-0,718	-0,691	-1,221E-13	-0,0171	-0,017	-2,949E-15
13,400	-0,752	-0,691	0,157	-0,0180	-0,017	0,004
13,450	-0,787	-0,675	0,471	-0,0188	-0,016	0,011
13,500	-0,820	-0,644	0,628	-0,0196	-0,015	0,015
13,550	-0,851	-0,613	0,628	-0,0203	-0,015	0,015
13,600	-0,881	-0,581	0,785	-0,0210	-0,014	0,019
13,650	-0,909	-0,534	0,785	-0,0217	-0,013	0,019
13,700	-0,935	-0,503	0,471	-0,0223	-0,012	0,011
13,750	-0,960	-0,487	0,471	-0,0229	-0,012	0,011
13,800	-0,983	-0,456	0,628	-0,0235	-0,011	0,015
13,850	-1,005	-0,424	0,785	-0,0240	-0,010	0,019
13,900	-1,026	-0,377	0,785	-0,0245	-0,009	0,019
13,950	-1,043	-0,346	0,628	-0,0249	-0,008	0,015
14,000	-1,060	-0,314	0,628	-0,0253	-0,008	0,015
14,050	-1,074	-0,283	0,314	-0,0257	-0,007	0,008
14,100	-1,089	-0,283	0,314	-0,0260	-0,007	0,007
14,150	-1,103	-0,251	0,785	-0,0263	-0,006	0,019
14,200	-1,114	-0,204	0,628	-0,0266	-0,005	0,015
14,250	-1,123	-0,188	0,471	-0,0268	-0,005	0,011
14,300	-1,133	-0,157	0,628	-0,0270	-0,004	0,015
14,350	-1,139	-0,126	0,471	-0,0272	-0,003	0,011
