Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1
Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität
1,890;0,053;0,079;-3,927;0,0013;0,002;-0,094;;
1,900;0,053;0,000;-3,927;0,0013;0,000;-0,094;0,1;0,12
1,910;0,053;0,000;3,927;0,0013;0,000;0,094;;
1,920;0,053;0,079;3,927;0,0013;0,002;0,094;;
1,930;0,055;0,079;-3,927;0,0013;0,002;-0,094;;
1,940;0,055;0,000;-3,927;0,0013;0,000;-0,094;;
1,950;0,055;0,000;3,927;0,0013;0,000;0,094;0,1;0,14
1,960;0,055;0,079;3,927;0,0013;0,002;0,094;;
1,970;0,057;0,079;-3,927;0,0013;0,002;-0,094;;
1,980;0,057;0,000;0,000;0,0013;0,000;0,000;;
1,990;0,057;0,079;3,927;0,0013;0,002;0,094;;
2,000;0,058;0,079;-3,927;0,0014;0,002;-0,094;0,2;0,16
2,010;0,058;0,000;-3,927;0,0014;0,000;-0,094;;
2,020;0,058;0,000;3,927;0,0014;0,000;0,094;;
2,030;0,058;0,079;3,927;0,0014;0,002;0,094;;
2,040;0,060;0,079;-3,927;0,0014;0,002;-0,094;;
2,050;0,060;0,000;-1,749E-13;0,0014;0,000;-4,163E-15;0,2;0,19
2,060;0,060;0,079;3,927;0,0014;0,002;0,094;;
2,070;0,061;0,079;-3,927;0,0015;0,002;-0,094;;
2,080;0,061;0,000;1,749E-13;0,0015;0,000;4,163E-15;;
2,090;0,061;0,079;3,927;0,0015;0,002;0,094;;
2,100;0,063;0,079;-3,927;0,0015;0,002;-0,094;0,2;0,22
2,110;0,063;0,000;0,000;0,0015;0,000;0,000;;
2,120;0,063;0,079;3,927;0,0015;0,002;0,094;;
2,130;0,064;0,079;-3,927;0,0015;0,002;-0,094;;
2,140;0,064;0,000;-3,927;0,0015;0,000;-0,094;;
2,150;0,064;0,000;0,000;0,0015;0,000;0,000;0,2;0,24
2,160;0,064;0,000;0,000;0,0015;0,000;0,000;;
2,170;0,064;0,000;0,000;0,0015;0,000;0,000;;
2,180;0,064;0,000;0,000;0,0015;0,000;0,000;;
2,190;0,064;0,000;0,000;0,0015;0,000;0,000;;
2,200;0,064;0,000;0,000;0,0015;0,000;0,000;0,2;0,22
2,210;0,064;0,000;3,927;0,0015;0,000;0,094;;
2,220;0,064;0,079;3,927;0,0015;0,002;0,094;;
2,230;0,066;0,079;-3,927;0,0016;0,002;-0,094;;
2,240;0,066;0,000;0,000;0,0016;0,000;0,000;;
2,250;0,066;0,079;3,927;0,0016;0,002;0,094;0,2;0,24
2,260;0,068;0,079;-3,927;0,0016;0,002;-0,094;;
2,270;0,068;0,000;-3,490E-13;0,0016;0,000;-8,327E-15;;
2,280;0,068;0,079;3,927;0,0016;0,002;0,094;;
2,290;0,069;0,079;3,490E-13;0,0016;0,002;8,327E-15;;
2,300;0,069;0,079;0,000;0,0016;0,002;0,000;0,3;0,25
2,310;0,071;0,079;-3,927;0,0017;0,002;-0,094;;
2,320;0,071;0,000;-3,927;0,0017;0,000;-0,094;;
2,330;0,071;0,000;3,927;0,0017;0,000;0,094;;
2,340;0,071;0,079;3,927;0,0017;0,002;0,094;;
