Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4
Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität;Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität;Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität;Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität
33,600;1,572;0,051;0,000;0,0375375;0,001;0,000;0,1;0,0783386;33,600;1,494;0,043;-0,029;0,0356625;0,001;-7,031E-4;0,1;0,0501099;33,600;1,301;0,027;0,029;0,0310500;6,562E-4;7,031E-4;0,1;0,0609131;33,600;1,423;0,043;0,010;0,0339750;0,001;2,344E-4;0,2;0,1798706
33,800;1,583;0,051;-0,010;0,0378000;0,001;-2,344E-4;0,1;0,1484680;33,800;1,502;0,039;1,908E-15;0,0358500;9,375E-4;4,608E-17;0,1;0,0529327;33,800;1,308;0,043;0,039;0,0312375;0,001;9,375E-4;0,0;0,0487671;33,800;1,434;0,055;0,039;0,0342375;0,001;9,375E-4;0,2;0,2265320
34,000;1,593;0,047;0,000;0,0380250;0,001;0,000;0,2;0,2032166;34,000;1,510;0,043;0,020;0,0360375;0,001;4,688E-4;0,1;0,0694580;34,000;1,318;0,043;0,010;0,0314625;0,001;2,344E-4;0,0;0,0466309;34,000;1,445;0,059;-0,010;0,0345000;0,001;-2,344E-4;0,2;0,2199249
34,200;1,602;0,051;0,010;0,0382500;0,001;2,344E-4;0,2;0,1588440;34,200;1,519;0,047;0,000;0,0362625;0,001;0,000;0,1;0,0938416;34,200;1,326;0,047;-0,010;0,0316500;0,001;-2,344E-4;0,0;0,0483246;34,200;1,458;0,051;-0,029;0,0348000;0,001;-7,031E-4;0,2;0,1773682
34,400;1,613;0,051;-2,272E-15;0,0385125;0,001;-5,421E-17;0,1;0,0962830;34,400;1,528;0,043;-0,020;0,0364875;0,001;-4,688E-4;0,1;0,1045990;34,400;1,337;0,039;-0,029;0,0319125;9,375E-4;-7,031E-4;0,0;0,0481720;34,400;1,466;0,047;0,029;0,0349875;0,001;7,031E-4;0,1;0,1132355
34,600;1,623;0,051;0,000;0,0387375;0,001;0,000;0,1;0,0777740;34,600;1,536;0,039;0,000;0,0366750;9,375E-4;0,000;0,1;0,0817719;34,600;1,341;0,035;0,020;0,0320250;8,437E-4;4,688E-4;0,0;0,0493317;34,600;1,477;0,063;0,029;0,0352500;0,001;7,031E-4;0,1;0,0906525
34,800;1,634;0,051;2,272E-15;0,0390000;0,001;5,421E-17;0,1;0,0696259;34,800;1,544;0,043;0,029;0,0368625;0,001;7,031E-4;0,1;0,0667725;34,800;1,351;0,047;1,561E-15;0,0322500;0,001;3,768E-17;0,1;0,0554962;34,800;1,491;0,059;-0,049;0,0355875;0,001;-0,001;0,1;0,0968781
35,000;1,643;0,051;0,000;0,0392250;0,001;0,000;0,1;0,0754852;35,000;1,554;0,051;0,010;0,0370875;0,001;2,344E-4;0,1;0,0561066;35,000;1,360;0,035;-0,029;0,0324750;8,438E-4;-7,031E-4;0,1;0,0609436;35,000;1,500;0,043;-0,049;0,0358125;0,001;-0,001;0,1;0,1069336
35,200;1,654;0,051;0,000;0,0394875;0,001;0,000;0,1;0,0948181;35,200;1,565;0,047;-0,029;0,0373500;0,001;-7,031E-4;0,1;0,0553284;35,200;1,365;0,035;0,010;0,0325875;8,438E-4;2,344E-4;0,1;0,0565338;35,200;1,508;0,039;0,020;0,0360000;9,375E-4;4,687E-4;0,1;0,1136780
35,400;1,663;0,051;0,010;0,0397125;0,001;2,344E-4;0,2;0,1926727;35,400;1,572;0,039;-0,029;0,0375375;9,375E-4;-7,031E-4;0,1;0,0668640;35,400;1,374;0,039;-0,020;0,0328125;9,375E-4;-4,688E-4;0,1;0,0518188;35,400;1,516;0,051;0,049;0,0361875;0,001;0,001;0,1;0,1156921
35,600;1,674;0,055;-0,010;0,0399750;0,001;-2,344E-4;0,3;0,2655640;35,600;1,580;0,035;-0,010;0,0377250;8,437E-4;-2,344E-4;0,1;0,0725250;35,600;1,381;0,027;-0,010;0,0329625;6,562E-4;-2,344E-4;0,0;0,0471039;35,600;1,528;0,059;-0,010;0,0364875;0,001;-2,344E-4;0,1;0,1045074
35,800;1,685;0,047;-0,029;0,0402375;0,001;-7,031E-4;0,3;0,3267517;35,800;1,587;0,035;0,010;0,0378750;8,437E-4;2,344E-4;0,1;0,0792847;35,800;1,385;0,035;0,039;0,0330750;8,438E-4;9,375E-4;0,0;0,0444031;35,800;1,539;0,047;-0,029;0,0367500;0,001;-7,031E-4;0,1;0,1012878
36,000;1,693;0,043;-1,388E-15;0,0404250;0,001;4,337E-17;0,2;0,2457581;36,000;1,594;0,039;0,010;0,0380625;9,375E-4;2,344E-4;0,1;0,1296082;36,000;1,395;0,043;0,000;0,0333000;0,001;-4,337E-17;0,0;0,0457611;36,000;1,547;0,047;0,020;0,0369375;0,001;4,687E-4;0,1;0,0905609
36,200;1,703;0,047;0,000;0,0406500;0,001;0,000;0,1;0,1197815;36,200;1,602;0,039;0,000;0,0382500;9,375E-4;0,000;0,2;0,1772461;36,200;1,403;0,035;-0,020;0,0334875;8,437E-4;-4,688E-4;0,0;0,0463562;36,200;1,558;0,055;0,020;0,0372000;0,001;4,687E-4;0,1;0,0858307
36,400;1,712;0,043;-0,020;0,0408750;0,001;-4,688E-4;0,1;0,0940704;36,400;1,610;0,039;-0,020;0,0384375;9,375E-4;-4,688E-4;0,2;0,1598206;36,400;1,409;0,035;-1,561E-15;0,0336375;8,437E-4;-3,768E-17;0,1;0,0544739;36,400;1,569;0,055;-0,020;0,0374625;0,001;-4,688E-4;0,1;0,1050873
36,600;1,720;0,039;0,000;0,0410625;9,375E-4;0,000;0,1;0,0932770;36,600;1,618;0,031;-0,029;0,0386250;7,500E-4;-7,031E-4;0,1;0,1274109;36,600;1,417;0,035;0,010;0,0338250;8,437E-4;2,344E-4;0,1;0,0671692;36,600;1,580;0,047;-0,029;0,0377250;0,001;-7,031E-4;0,1;0,1296082
36,800;1,728;0,043;0,059;0,0412500;0,001;0,001;0,1;0,0886688;36,800;1,623;0,027;0,000;0,0387375;6,562E-4;-1,003E-17;0,1;0,1019287;36,800;1,423;0,039;0,020;0,0339750;9,375E-4;4,688E-4;0,1;0,1160736;36,800;1,588;0,043;7,112E-16;0,0379125;0,001;9,324E-17;0,1;0,1451263
37,000;1,737;0,063;0,039;0,0414750;0,002;9,375E-4;0,1;0,0778961;37,000;1,629;0,031;0,000;0,0388875;7,500E-4;0,000;0,1;0,0727386;37,000;1,433;0,043;0,010;0,0342000;0,001;2,344E-4;0,2;0,2017822;37,000;1,598;0,047;0,039;0,0381375;0,001;9,375E-4;0,2;0,1827240
37,200;1,753;0,059;-0,059;0,0418500;0,001;-0,001;0,1;0,0789795;37,200;1,635;0,027;-0,020;0,0390375;6,562E-4;-4,687E-4;0,1;0,0638275;37,200;1,440;0,043;0,010;0,0343875;0,001;2,344E-4;0,2;0,2182617;37,200;1,607;0,059;0,020;0,0383625;0,001;4,687E-4;0,2;0,1955719
37,400;1,761;0,039;-0,029;0,0420375;9,375E-4;-7,031E-4;0,1;0,0860443;37,400;1,640;0,024;-0,010;0,0391500;5,625E-4;-2,344E-4;0,1;0,0600739;37,400;1,450;0,047;-0,020;0,0346125;0,001;-4,688E-4;0,2;0,1596985;37,400;1,621;0,055;-0,049;0,0387000;0,001;-0,001;0,2;0,1637268
37,600;1,769;0,047;0,029;0,0422250;0,001;7,031E-4;0,1;0,1110229;37,600;1,645;0,024;0,010;0,0392625;5,625E-4;2,344E-4;0,1;0,0601044;37,600;1,459;0,035;-0,039;0,0348375;8,437E-4;-9,375E-4;0,1;0,1150360;37,600;1,629;0,039;-0,039;0,0388875;9,375E-4;-9,375E-4;0,1;0,1330414
37,800;1,780;0,051;-0,010;0,0424875;0,001;-2,344E-4;0,1;0,1090546;37,800;1,649;0,027;0,029;0,0393750;6,562E-4;7,031E-4;0,1;0,0613861;37,800;1,464;0,031;0,010;0,0349500;7,500E-4;2,344E-4;0,1;0,0767059;37,800;1,637;0,039;0,020;0,0390750;9,375E-4;4,688E-4;0,1;0,1061859
38,000;1,789;0,043;-0,039;0,0427125;0,001;-9,375E-4;0,1;0,0925293;38,000;1,656;0,035;0,010;0,0395250;8,437E-4;2,344E-4;0,1;0,0708466;38,000;1,472;0,039;0,029;0,0351375;9,375E-4;7,031E-4;0,1;0,0576019;38,000;1,645;0,047;0,039;0,0392625;0,001;9,375E-4;0,1;0,1053314
38,200;1,797;0,035;0,000;0,0429000;8,437E-4;-4,337E-17;0,1;0,0898590;38,200;1,663;0,031;-0,029;0,0397125;7,500E-4;-7,031E-4;0,1;0,0810852;38,200;1,480;0,043;0,020;0,0353250;0,001;4,688E-4;0,1;0,0536346;38,200;1,656;0,055;-0,020;0,0395250;0,001;-4,687E-4;0,1;0,1349640
38,400;1,803;0,043;0,029;0,0430500;0,001;7,031E-4;0,1;0,1043091;38,400;1,668;0,024;-0,010;0,0398250;5,625E-4;-2,344E-4;0,1;0,1022034;38,400;1,489;0,047;-0,020;0,0355500;0,001;-4,687E-4;0,0;0,0495758;38,400;1,667;0,039;-0,069;0,0397875;9,375E-4;-0,002;0,2;0,1763306
38,600;1,814;0,047;0,000;0,0433125;0,001;4,337E-17;0,1;0,1145630;38,600;1,673;0,027;0,020;0,0399375;6,562E-4;4,687E-4;0,2;0,1573486;38,600;1,499;0,035;-0,039;0,0357750;8,438E-4;-9,375E-4;0,0;0,0493164;38,600;1,671;0,027;-0,010;0,0399000;6,562E-4;-2,344E-4;0,2;0,2220459
38,800;1,822;0,043;-0,010;0,0435000;0,001;-2,344E-4;0,1;0,1474609;38,800;1,679;0,031;-0,010;0,0400875;7,500E-4;-2,344E-4;0,2;0,2011261;38,800;1,503;0,031;0,010;0,0358875;7,500E-4;2,344E-4;0,1;0,0595093;38,800;1,678;0,035;0,059;0,0400500;8,437E-4;0,001;0,3;0,2756348
39,000;1,832;0,043;-1,908E-15;0,0437250;0,001;-4,608E-17;0,3;0,2735748;39,000;1,685;0,024;-0,020;0,0402375;5,625E-4;-4,688E-4;0,3;0,2561340;39,000;1,511;0,039;0,020;0,0360750;9,375E-4;4,687E-4;0,1;0,0790405;39,000;1,685;0,051;0,039;0,0402375;0,001;9,375E-4;0,3;0,2976837
39,200;1,839;0,043;0,010;0,0439125;0,001;2,344E-4;0,5;0,4693756;39,200;1,689;0,024;0,020;0,0403125;5,625E-4;4,687E-4;0,3;0,3129730;39,200;1,519;0,039;0,020;0,0362625;9,375E-4;4,687E-4;0,1;0,0877686;39,200;1,698;0,051;-0,049;0,0405375;0,001;-0,001;0,3;0,3062592
39,400;1,849;0,047;0,010;0,0441375;0,001;2,344E-4;0,5;0,4691315;39,400;1,695;0,031;0,020;0,0404625;7,500E-4;4,688E-4;0,3;0,2916870;39,400;1,527;0,047;0,010;0,0364500;0,001;2,344E-4;0,1;0,0795441;39,400;1,706;0,031;-0,049;0,0407250;7,500E-4;-0,001;0,3;0,2751465
39,600;1,858;0,047;0,000;0,0443625;0,001;0,000;0,3;0,2862854;39,600;1,701;0,031;-0,010;0,0406125;7,500E-4;-2,344E-4;0,2;0,2122498;39,600;1,538;0,043;-0,039;0,0367125;0,001;-9,375E-4;0,1;0,0658569;39,600;1,711;0,031;0,029;0,0408375;7,500E-4;7,031E-4;0,2;0,2284546
39,800;1,868;0,047;0,000;0,0445875;0,001;0,000;0,1;0,1464691;39,800;1,707;0,027;-0,020;0,0407625;6,562E-4;-4,687E-4;0,1;0,1422424;39,800;1,544;0,031;-0,010;0,0368625;7,500E-4;-2,344E-4;0,1;0,0548553;39,800;1,718;0,043;0,039;0,0410250;0,001;9,375E-4;0,2;0,1508026
40,000;1,877;0,047;-0,010;0,0448125;0,001;-2,344E-4;0,1;0,1180878;40,000;1,712;0,024;-0,020;0,0408750;5,625E-4;-4,688E-4;0,1;0,1199188;40,000;1,550;0,039;0,020;0,0370125;9,375E-4;4,687E-4;0,1;0,0525055;40,000;1,728;0,047;-1,908E-15;0,0412500;0,001;-4,608E-17;0,1;0,0964203
40,200;1,887;0,043;-0,010;0,0450375;0,001;-2,344E-4;0,1;0,0980835;40,200;1,717;0,020;-1,388E-15;0,0409875;4,687E-4;-4,337E-17;0,1;0,0923920;40,200;1,560;0,039;0,000;0,0372375;9,375E-4;0,000;0,1;0,0531921;40,200;1,737;0,043;-0,020;0,0414750;0,001;-4,688E-4;0,1;0,0901337
40,400;1,894;0,043;0,010;0,0452250;0,001;2,344E-4;0,1;0,0980682;40,400;1,720;0,024;0,010;0,0410625;5,625E-4;2,344E-4;0,1;0,0757294;40,400;1,566;0,039;1,735E-15;0,0373875;9,375E-4;4,174E-17;0,1;0,0581207;40,400;1,745;0,039;-0,029;0,0416625;9,375E-4;-7,031E-4;0,1;0,0919800
40,600;1,904;0,047;0,000;0,0454500;0,001;0,000;0,1;0,1050415;40,600;1,726;0,024;0,000;0,0412125;5,625E-4;0,000;0,1;0,0722351;40,600;1,576;0,039;0,000;0,0376125;9,375E-4;0,000;0,1;0,0671844;40,600;1,753;0,031;-0,029;0,0418500;7,500E-4;-7,031E-4;0,1;0,0934906
40,800;1,913;0,043;-0,020;0,0456750;0,001;-4,688E-4;0,1;0,1488037;40,800;1,729;0,024;0,029;0,0412875;5,625E-4;7,031E-4;0,1;0,0667572;40,800;1,582;0,039;0,000;0,0377625;9,375E-4;0,000;0,1;0,0795135;40,800;1,758;0,027;-0,010;0,0419625;6,562E-4;-2,344E-4;0,1;0,0920410
41,000;1,921;0,039;-1,908E-15;0,0458625;9,375E-4;-4,608E-17;0,3;0,2637939;41,000;1,736;0,035;0,010;0,0414375;8,437E-4;2,344E-4;0,1;0,0673218;41,000;1,591;0,039;-0,020;0,0379875;9,375E-4;-4,688E-4;0,1;0,1129761;41,000;1,764;0,027;0,029;0,0421125;6,562E-4;7,031E-4;0,1;0,0941772
41,200;1,929;0,043;0,020;0,0460500;0,001;4,688E-4;0,4;0,3585052;41,200;1,744;0,027;-0,029;0,0416250;6,562E-4;-7,031E-4;0,1;0,0685883;41,200;1,598;0,031;-0,010;0,0381375;7,500E-4;-2,344E-4;0,1;0,1359863;41,200;1,769;0,039;0,029;0,0422250;9,375E-4;7,031E-4;0,1;0,0952606
41,400;1,938;0,047;0,010;0,0462750;0,001;2,344E-4;0,4;0,3898163;41,400;1,747;0,024;0,010;0,0417000;5,625E-4;2,344E-4;0,1;0,0677490;41,400;1,604;0,035;0,020;0,0382875;8,437E-4;4,688E-4;0,2;0,1862640;41,400;1,780;0,039;-0,010;0,0424875;9,375E-4;-2,344E-4;0,1;0,1021271
41,600;1,948;0,047;-0,010;0,0465000;0,001;-2,344E-4;0,2;0,2159576;41,600;1,753;0,031;0,020;0,0418500;7,500E-4;4,688E-4;0,1;0,0654297;41,600;1,612;0,039;0,010;0,0384750;9,375E-4;2,344E-4;0,2;0,1677551;41,600;1,784;0,035;0,010;0,0426000;8,438E-4;2,344E-4;0,1;0,1018829
41,800;1,957;0,043;-0,029;0,0467250;0,001;-7,031E-4;0,1;0,1332397;41,800;1,759;0,031;-0,010;0,0420000;7,500E-4;-2,344E-4;0,1;0,0676270;41,800;1,619;0,039;0,000;0,0386625;9,375E-4;0,000;0,1;0,1002655;41,800;1,794;0,043;0,020;0,0428250;0,001;4,688E-4;0,1;0,0970764
42,000;1,965;0,035;-0,020;0,0469125;8,437E-4;-4,688E-4;0,1;0,1238861;42,000;1,766;0,027;-0,039;0,0421500;6,562E-4;-9,375E-4;0,1;0,0703125;42,000;1,627;0,039;-1,735E-15;0,0388500;9,375E-4;-4,174E-17;0,1;0,0680389;42,000;1,802;0,043;-1,908E-15;0,0430125;0,001;-4,608E-17;0,1;0,0980225
42,200;1,971;0,035;0,020;0,0470625;8,437E-4;4,688E-4;0,1;0,1451111;42,200;1,770;0,016;-0,029;0,0422625;3,750E-4;-7,031E-4;0,1;0,0727234;42,200;1,635;0,039;0,000;0,0390375;9,375E-4;0,000;0,1;0,0621033;42,200;1,811;0,043;0,000;0,0432375;0,001;0,000;0,1;0,1009827
42,400;1,979;0,043;0,039;0,0472500;0,001;9,375E-4;0,1;0,1411285;42,400;1,772;0,016;0,029;0,0423000;3,750E-4;7,031E-4;0,1;0,0809784;42,400;1,643;0,039;0,020;0,0392250;9,375E-4;4,688E-4;0,1;0,0566101;42,400;1,819;0,043;1,908E-15;0,0434250;0,001;4,608E-17;0,1;0,1259155
42,600;1,989;0,051;0,010;0,0474750;0,001;2,344E-4;0,2;0,1834412;42,600;1,777;0,027;0,029;0,0424125;6,562E-4;7,031E-4;0,1;0,0870056;42,600;1,651;0,047;0,000;0,0394125;0,001;0,000;0,1;0,0620728;42,600;1,828;0,043;-0,010;0,0436500;0,001;-2,344E-4;0,2;0,2263031
42,800;2,000;0,047;-0,020;0,0477375;0,001;-4,688E-4;0,3;0,2951965;42,800;1,783;0,027;-0,010;0,0425625;6,562E-4;-2,344E-4;0,1;0,0859985;42,800;1,662;0,039;-0,039;0,0396750;9,375E-4;-9,375E-4;0,1;0,0736694;42,800;1,836;0,039;-0,020;0,0438375;9,375E-4;-4,688E-4;0,3;0,3264923
43,000;2,007;0,043;6,765E-16;0,0479250;0,001;-6,505E-18;0,3;0,3461609;43,000;1,788;0,024;0,010;0,0426750;5,625E-4;2,344E-4;0,1;0,0773468;43,000;1,667;0,031;-1,735E-15;0,0397875;7,500E-4;-4,174E-17;0,1;0,1270905;43,000;1,844;0,035;-0,010;0,0440250;8,437E-4;-2,344E-4;0,4;0,4166870
43,200;2,017;0,047;0,010;0,0481500;0,001;2,344E-4;0,3;0,2766113;43,200;1,792;0,031;0,029;0,0427875;7,500E-4;7,031E-4;0,1;0,0689240;43,200;1,674;0,039;0,020;0,0399750;9,375E-4;4,687E-4;0,2;0,1730957;43,200;1,850;0,035;0,000;0,0441750;8,437E-4;0,000;0,5;0,4726105
43,400;2,026;0,047;-0,010;0,0483750;0,001;-2,344E-4;0,2;0,1773682;43,400;1,800;0,035;-0,010;0,0429750;8,437E-4;-2,344E-4;0,1;0,0674896;43,400;1,682;0,039;0,010;0,0401625;9,375E-4;2,344E-4;0,3;0,2934265;43,400;1,858;0,035;-0,010;0,0443625;8,437E-4;-2,344E-4;0,5;0,4668427
43,600;2,036;0,043;-0,010;0,0486000;0,001;-2,344E-4;0,1;0,1403351;43,600;1,806;0,027;-0,029;0,0431250;6,562E-4;-7,031E-4;0,1;0,0682373;43,600;1,690;0,043;-1,388E-15;0,0403500;0,001;0,000;0,3;0,3074646;43,600;1,865;0,031;-0,010;0,0445125;7,500E-4;-2,344E-4;0,4;0,4475250
43,800;2,044;0,043;0,010;0,0487875;0,001;2,344E-4;0,1;0,1132813;43,800;1,811;0,024;0,010;0,0432375;5,625E-4;2,344E-4;0,1;0,0682220;43,800;1,700;0,039;-0,020;0,0405750;9,375E-4;-4,688E-4;0,2;0,2080536;43,800;1,871;0,031;-0,010;0,0446625;7,500E-4;-2,344E-4;0,4;0,3901215
44,000;2,053;0,047;-0,010;0,0490125;0,001;-2,344E-4;0,1;0,1232605;44,000;1,816;0,031;0,020;0,0433500;7,500E-4;4,687E-4;0,1;0,0812683;44,000;1,706;0,035;-3,469E-16;0,0407250;8,437E-4;-4,174E-17;0,1;0,1254120;44,000;1,877;0,027;0,000;0,0448125;6,562E-4;1,003E-17;0,3;0,3196411
44,200;2,062;0,039;-0,020;0,0492375;9,375E-4;-4,688E-4;0,1;0,1371765;44,200;1,824;0,031;-0,010;0,0435375;7,500E-4;-2,344E-4;0,1;0,0986481;44,200;1,714;0,039;0,000;0,0409125;9,375E-4;0,000;0,1;0,0902252;44,200;1,882;0,031;0,020;0,0449250;7,500E-4;4,687E-4;0,2;0,2319336
44,400;2,069;0,039;0,010;0,0493875;9,375E-4;2,344E-4;0,3;0,2566833;44,400;1,828;0,027;0,010;0,0436500;6,562E-4;2,344E-4;0,1;0,1283569;44,400;1,722;0,035;-0,010;0,0411000;8,437E-4;-2,344E-4;0,1;0,0804291;44,400;1,890;0,035;-0,010;0,0451125;8,437E-4;-2,344E-4;0,2;0,1573486
44,600;2,078;0,043;-2,776E-15;0,0496125;0,001;0,000;0,4;0,3695526;44,600;1,835;0,035;0,020;0,0438000;8,437E-4;4,688E-4;0,2;0,2012482;44,600;1,728;0,035;0,020;0,0412500;8,437E-4;4,688E-4;0,1;0,0655212;44,600;1,896;0,027;0,000;0,0452625;6,562E-4;4,337E-17;0,1;0,1457520
44,800;2,086;0,039;-0,020;0,0498000;9,375E-4;-4,688E-4;0,7;0,6611176;44,800;1,843;0,035;-0,020;0,0439875;8,437E-4;-4,688E-4;0,3;0,2545471;44,800;1,736;0,043;0,010;0,0414375;0,001;2,344E-4;0,1;0,0634766;44,800;1,901;0,035;0,039;0,0453750;8,438E-4;9,375E-4;0,2;0,1579132
45,000;2,094;0,035;-0,010;0,0499875;8,437E-4;-2,344E-4;0,9;0,8853455;45,000;1,849;0,027;-0,020;0,0441375;6,562E-4;-4,688E-4;0,4;0,3775940;45,000;1,745;0,039;-0,020;0,0416625;9,375E-4;-4,688E-4;0,1;0,0651398;45,000;1,910;0,043;-1,561E-15;0,0456000;0,001;-8,104E-17;0,2;0,2112885
45,200;2,100;0,035;0,000;0,0501375;8,437E-4;0,000;0,9;0,9086151;45,200;1,854;0,027;0,010;0,0442500;6,562E-4;2,344E-4;0,5;0,4706421;45,200;1,751;0,035;1,388E-15;0,0418125;8,437E-4;0,000;0,1;0,0651703;45,200;1,918;0,035;-0,039;0,0457875;8,437E-4;-9,375E-4;0,3;0,2524414
45,400;2,108;0,035;0,010;0,0503250;8,437E-4;2,344E-4;0,6;0,6223145;45,400;1,860;0,031;-0,010;0,0444000;7,500E-4;-2,344E-4;0,4;0,4060059;45,400;1,759;0,039;0,010;0,0420000;9,375E-4;2,344E-4;0,1;0,0647583;45,400;1,924;0,027;-0,020;0,0459375;6,562E-4;-4,687E-4;0,3;0,3020020
45,600;2,114;0,039;0,010;0,0504750;9,375E-4;2,344E-4;0,3;0,2992401;45,600;1,866;0,024;-0,029;0,0445500;5,625E-4;-7,031E-4;0,3;0,3331909;45,600;1,767;0,039;-0,010;0,0421875;9,375E-4;-2,344E-4;0,1;0,0804443;45,600;1,929;0,027;0,000;0,0460500;6,562E-4;0,000;0,4;0,3528137
45,800;2,124;0,039;-0,020;0,0507000;9,375E-4;-4,688E-4;0,2;0,1853027;45,800;1,869;0,020;0,010;0,0446250;4,688E-4;2,344E-4;0,2;0,2375183;45,800;1,775;0,035;-0,020;0,0423750;8,437E-4;-4,688E-4;0,1;0,0939636;45,800;1,935;0,027;0,000;0,0462000;6,562E-4;0,000;0,4;0,3777161
46,000;2,130;0,031;-0,020;0,0508500;7,500E-4;-4,688E-4;0,2;0,1683655;46,000;1,874;0,027;0,020;0,0447375;6,562E-4;4,687E-4;0,1;0,1264954;46,000;1,781;0,031;-1,561E-15;0,0425250;7,500E-4;-3,768E-17;0,1;0,0877533;46,000;1,940;0,027;0,010;0,0463125;6,562E-4;2,344E-4;0,4;0,3888397
46,200;2,136;0,031;0,000;0,0510000;7,500E-4;0,000;0,2;0,1745911;46,200;1,880;0,027;-0,010;0,0448875;6,562E-4;-2,344E-4;0,1;0,1067200;46,200;1,788;0,035;0,020;0,0426750;8,437E-4;4,688E-4;0,1;0,0800171;46,200;1,946;0,031;0,000;0,0464625;7,500E-4;0,000;0,4;0,3701324
46,400;2,143;0,031;0,020;0,0511500;7,500E-4;4,688E-4;0,2;0,1732941;46,400;1,885;0,024;-0,010;0,0450000;5,625E-4;-2,344E-4;0,1;0,0803986;46,400;1,795;0,039;1,561E-15;0,0428625;9,375E-4;3,768E-17;0,1;0,0720215;46,400;1,953;0,027;-0,010;0,0466125;6,562E-4;-2,344E-4;0,3;0,3189240
46,600;2,149;0,039;0,029;0,0513000;9,375E-4;7,031E-4;0,1;0,1494293;46,600;1,890;0,024;0,000;0,0451125;5,625E-4;0,000;0,1;0,0742798;46,600;1,803;0,035;-0,010;0,0430500;8,437E-4;-2,344E-4;0,1;0,0741730;46,600;1,957;0,027;0,000;0,0467250;6,562E-4;0,000;0,2;0,2498016
46,800;2,158;0,043;-0,020;0,0515250;0,001;-4,688E-4;0,2;0,1939240;46,800;1,894;0,024;0,010;0,0452250;5,625E-4;2,344E-4;0,1;0,0670471;46,800;1,810;0,035;0,010;0,0432000;8,437E-4;2,344E-4;0,1;0,0775909;46,800;1,963;0,027;0,010;0,0468750;6,562E-4;2,344E-4;0,2;0,1928253
47,000;2,166;0,031;-0,039;0,0517125;7,500E-4;-9,375E-4;0,3;0,2959137;47,000;1,899;0,027;-2,437E-15;0,0453375;6,562E-4;-6,830E-17;0,1;0,0643463;47,000;1,817;0,039;-1,561E-15;0,0433875;9,375E-4;-3,768E-17;0,1;0,0927734;47,000;1,968;0,031;0,020;0,0469875;7,500E-4;4,687E-4;0,2;0,1514130
47,200;2,171;0,027;-0,010;0,0518250;6,562E-4;-2,344E-4;0,4;0,3943939;47,200;1,905;0,024;-0,029;0,0454875;5,625E-4;-7,031E-4;0,1;0,0661469;47,200;1,825;0,035;-0,020;0,0435750;8,437E-4;-4,688E-4;0,1;0,1000519;47,200;1,976;0,035;0,010;0,0471750;8,437E-4;2,344E-4;0,1;0,1395569
47,400;2,177;0,027;-0,020;0,0519750;6,562E-4;-4,687E-4;0,4;0,4306946;47,400;1,909;0,016;-0,010;0,0455625;3,750E-4;-2,344E-4;0,1;0,0729980;47,400;1,832;0,031;-0,010;0,0437250;7,500E-4;-2,344E-4;0,1;0,1260376;47,400;1,982;0,035;0,010;0,0473250;8,437E-4;2,344E-4;0,1;0,1285248
47,600;2,182;0,020;-0,029;0,0520875;4,688E-4;-7,031E-4;0,6;0,5612640;47,600;1,912;0,020;0,020;0,0456375;4,688E-4;4,688E-4;0,1;0,0863037;47,600;1,838;0,031;0,000;0,0438750;7,500E-4;0,000;0,2;0,2053375;47,600;1,990;0,039;1,388E-15;0,0475125;9,375E-4;0,000;0,2;0,1651306
47,800;2,185;0,016;0,000;0,0521625;3,750E-4;0,000;0,6;0,5996399;47,800;1,916;0,024;0,010;0,0457500;5,625E-4;2,344E-4;0,1;0,1070557;47,800;1,844;0,031;0,010;0,0440250;7,500E-4;2,344E-4;0,3;0,3462372;47,800;1,998;0,035;-0,020;0,0477000;8,437E-4;-4,688E-4;0,2;0,2304077
