Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4
Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität;Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität;Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität;Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität
7,400;0,344;0,047;0,000;0,0082125;0,001;0,000;0,1;0,0611115;7,400;0,331;0,039;-0,010;0,0079125;9,375E-4;-2,344E-4;0,0;0,0372772;7,400;0,297;0,051;0,020;0,0070875;0,001;4,687E-4;0,0;0,0348358;7,400;0,278;0,047;-0,010;0,0066375;0,001;-2,344E-4;0,1;0,0525970
7,600;0,353;0,047;2,602E-16;0,0084375;0,001;6,505E-18;0,1;0,0665436;7,600;0,339;0,039;0,010;0,0081000;9,375E-4;2,344E-4;0,0;0,0388641;7,600;0,308;0,051;-0,020;0,0073500;0,001;-4,687E-4;0,0;0,0349731;7,600;0,287;0,043;-0,010;0,0068625;0,001;-2,344E-4;0,1;0,0517426
7,800;0,363;0,047;0,000;0,0086625;0,001;0,000;0,1;0,0610809;7,800;0,347;0,043;0,020;0,0082875;0,001;4,687E-4;0,0;0,0479126;7,800;0,317;0,043;-0,020;0,0075750;0,001;-4,687E-4;0,0;0,0355530;7,800;0,295;0,043;0,010;0,0070500;0,001;2,344E-4;0,1;0,0500488
8,000;0,372;0,047;0,010;0,0088875;0,001;2,344E-4;0,0;0,0471191;8,000;0,357;0,047;0,010;0,0085125;0,001;2,344E-4;0,1;0,0610199;8,000;0,325;0,043;0,010;0,0077625;0,001;2,344E-4;0,0;0,0358582;8,000;0,305;0,047;-2,429E-16;0,0072750;0,001;-5,421E-18;0,0;0,0456390
8,200;0,382;0,051;5,204E-16;0,0091125;0,001;2,331E-17;0,0;0,0369110;8,200;0,366;0,047;-0,010;0,0087375;0,001;-2,344E-4;0,1;0,0507812;8,200;0,335;0,047;4,857E-16;0,0079875;0,001;5,963E-18;0,0;0,0371094;8,200;0,314;0,043;-0,029;0,0075000;0,001;-7,031E-4;0,0;0,0425415
8,400;0,393;0,047;-0,049;0,0093750;0,001;-0,001;0,0;0,0366669;8,400;0,375;0,043;0,000;0,0089625;0,001;1,084E-17;0,0;0,0451965;8,400;0,344;0,043;-0,029;0,0082125;0,001;-7,031E-4;0,0;0,0390015;8,400;0,322;0,035;-0,020;0,0076875;8,438E-4;-4,687E-4;0,0;0,0414734
8,600;0,401;0,031;-0,029;0,0095625;7,500E-4;-7,031E-4;0,0;0,0374298;8,600;0,383;0,047;0,010;0,0091500;0,001;2,344E-4;0,0;0,0388031;8,600;0,352;0,035;-0,010;0,0084000;8,438E-4;-2,344E-4;0,0;0,0479279;8,600;0,328;0,035;0,029;0,0078375;8,438E-4;7,031E-4;0,0;0,0432129
8,800;0,405;0,035;0,049;0,0096750;8,437E-4;0,001;0,0;0,0375671;8,800;0,394;0,047;0,000;0,0094125;0,001;0,000;0,0;0,0363312;8,800;0,358;0,039;0,020;0,0085500;9,375E-4;4,687E-4;0,1;0,0601807;8,800;0,336;0,047;0,049;0,0080250;0,001;0,001;0,1;0,0501251
9,000;0,415;0,051;0,039;0,0099000;0,001;9,375E-4;0,0;0,0399780;9,000;0,402;0,047;0,000;0,0096000;0,001;0,000;0,0;0,0342865;9,000;0,368;0,043;0,000;0,0087750;0,001;0,000;0,1;0,0552521;9,000;0,347;0,055;-0,010;0,0082875;0,001;-2,344E-4;0,1;0,0613403
9,200;0,426;0,051;-0,020;0,0101625;0,001;-4,687E-4;0,0;0,0466614;9,200;0,413;0,047;-0,020;0,0098625;0,001;-4,687E-4;0,0;0,0348816;9,200;0,375;0,039;0,000;0,0089625;9,375E-4;0,000;0,0;0,0440521;9,200;0,358;0,043;-0,059;0,0085500;0,001;-0,001;0,1;0,0649109
