Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2
Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität;Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität
16,200;0,162;0,008;0,010;0,0038625;1,875E-4;2,344E-4;0,0;0,0303040;16,200;0,789;0,059;0,059;0,0188250;0,001;0,001;0,0;0,0386963
16,400;0,163;0,008;-0,010;0,0039000;1,875E-4;-2,344E-4;0,0;0,0307922;16,400;0,804;0,063;-0,039;0,0192000;0,001;-9,375E-4;0,0;0,0388031
16,600;0,165;0,004;-0,010;0,0039375;9,375E-5;-2,344E-4;0,0;0,0310822;16,600;0,814;0,043;-0,069;0,0194250;0,001;-0,002;0,0;0,0400391
16,800;0,165;0,004;0,010;0,0039375;9,375E-5;2,344E-4;0,0;0,0308990;16,800;0,822;0,035;0,010;0,0196125;8,438E-4;2,344E-4;0,0;0,0394287
17,000;0,167;0,008;0,010;0,0039750;1,875E-4;2,344E-4;0,0;0,0303650;17,000;0,828;0,047;0,049;0,0197625;0,001;0,001;0,0;0,0392303
17,200;0,168;0,008;-0,010;0,0040125;1,875E-4;-2,344E-4;0,0;0,0310364;17,200;0,840;0,055;-1,041E-15;0,0200625;0,001;-4,662E-17;0,0;0,0384521
17,400;0,170;0,004;-0,010;0,0040500;9,375E-5;-2,344E-4;0,0;0,0302429;17,400;0,850;0,047;-0,020;0,0202875;0,001;-4,687E-4;0,0;0,0366974
17,600;0,170;0,004;0,010;0,0040500;9,375E-5;2,344E-4;0,0;0,0301971;17,600;0,859;0,047;-0,010;0,0205125;0,001;-2,344E-4;0,0;0,0358124
17,800;0,171;0,008;0,000;0,0040875;1,875E-4;0,000;0,0;0,0311127;17,800;0,869;0,043;0,020;0,0207375;0,001;4,688E-4;0,0;0,0355530
18,000;0,173;0,004;-0,010;0,0041250;9,375E-5;-2,344E-4;0,0;0,0311737;18,000;0,877;0,055;0,039;0,0209250;0,001;9,375E-4;0,0;0,0341187
