Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2
Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität;Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität
10,000;0,459;0,051;0,029;0,0109500;0,001;7,031E-4;0,0;0,0388641;10,000;0,448;0,051;-0,020;0,0106875;0,001;-4,688E-4;0,0;0,0451050
10,200;0,470;0,051;-0,029;0,0112125;0,001;-7,031E-4;0,0;0,0378418;10,200;0,457;0,039;-0,039;0,0109125;9,375E-4;-9,375E-4;0,0;0,0420227
10,400;0,479;0,039;-0,029;0,0114375;9,375E-4;-7,031E-4;0,0;0,0381012;10,400;0,463;0,035;-0,010;0,0110625;8,438E-4;-2,344E-4;0,0;0,0377350
10,600;0,485;0,039;0,020;0,0115875;9,375E-4;4,688E-4;0,0;0,0383606;10,600;0,471;0,035;3,990E-16;0,0112500;8,438E-4;9,487E-18;0,0;0,0369110
10,800;0,495;0,047;0,029;0,0118125;0,001;7,031E-4;0,0;0,0398102;10,800;0,478;0,035;0,010;0,0114000;8,438E-4;2,344E-4;0,0;0,0370178
11,000;0,504;0,051;0,020;0,0120375;0,001;4,688E-4;0,1;0,0548859;11,000;0,485;0,039;-3,990E-16;0,0115875;9,375E-4;-9,487E-18;0,0;0,0362091
11,200;0,515;0,055;-0,010;0,0123000;0,001;-2,344E-4;0,1;0,0620270;11,200;0,493;0,035;-0,010;0,0117750;8,438E-4;-2,344E-4;0,0;0,0368195
11,400;0,526;0,047;-0,029;0,0125625;0,001;-7,031E-4;0,1;0,0625153;11,400;0,500;0,035;0,020;0,0119250;8,438E-4;4,687E-4;0,0;0,0376587
11,600;0,534;0,043;0,010;0,0127500;0,001;2,344E-4;0,1;0,0509491;11,600;0,507;0,043;0,010;0,0121125;0,001;2,344E-4;0,0;0,0418549
11,800;0,543;0,051;0,010;0,0129750;0,001;2,344E-4;0,0;0,0382080;11,800;0,517;0,039;-3,469E-16;0,0123375;9,375E-4;1,084E-17;0,1;0,0560150
12,000;0,554;0,047;-0,020;0,0132375;0,001;-4,688E-4;0,0;0,0373230;12,000;0,523;0,043;0,020;0,0124875;0,001;4,687E-4;0,1;0,0615387
12,200;0,562;0,043;0,010;0,0134250;0,001;2,344E-4;0,0;0,0381775;12,200;0,534;0,047;-0,029;0,0127500;0,001;-7,031E-4;0,1;0,0550079
12,400;0,572;0,051;0,039;0,0136500;0,001;9,375E-4;0,0;0,0396729;12,400;0,542;0,031;-0,059;0,0129375;7,500E-4;-0,001;0,0;0,0481415
12,600;0,583;0,059;-0,010;0,0139125;0,001;-2,344E-4;0,0;0,0490417;12,600;0,547;0,024;0,010;0,0130500;5,625E-4;2,344E-4;0,0;0,0399475
12,800;0,595;0,047;-0,049;0,0142125;0,001;-0,001;0,1;0,0647583;12,800;0,551;0,035;0,059;0,0131625;8,438E-4;0,001;0,0;0,0366516
13,000;0,602;0,039;-0,010;0,0143625;9,375E-4;-2,344E-4;0,1;0,0735779;13,000;0,561;0,047;0,029;0,0133875;0,001;7,031E-4;0,0;0,0340729
13,200;0,611;0,043;-0,010;0,0145875;0,001;-2,344E-4;0,1;0,0777283;13,200;0,570;0,047;-0,020;0,0136125;0,001;-4,687E-4;0,0;0,0350189
13,400;0,619;0,035;-0,010;0,0147750;8,438E-4;-2,344E-4;0,1;0,0706177;13,400;0,580;0,039;-0,029;0,0138375;9,375E-4;-7,031E-4;0,0;0,0358429
13,600;0,625;0,039;0,029;0,0149250;9,375E-4;7,031E-4;0,1;0,0510864;13,600;0,586;0,035;4,337E-16;0,0139875;8,438E-4;1,057E-17;0,0;0,0370178
13,800;0,635;0,047;0,020;0,0151500;0,001;4,687E-4;0,0;0,0436096;13,800;0,594;0,039;0,020;0,0141750;9,375E-4;4,687E-4;0,0;0,0433044
14,000;0,644;0,047;-5,204E-16;0,0153750;0,001;-1,626E-18;0,0;0,0419006;14,000;0,602;0,043;0,020;0,0143625;0,001;4,687E-4;0,1;0,0652924
14,200;0,653;0,047;0,020;0,0156000;0,001;4,688E-4;0,0;0,0407562;14,200;0,611;0,047;-0,010;0,0145875;0,001;-2,344E-4;0,1;0,0726776
14,400;0,663;0,055;0,010;0,0158250;0,001;2,344E-4;0,0;0,0417328;14,400;0,620;0,039;-0,020;0,0148125;9,375E-4;-4,687E-4;0,1;0,0621643
14,600;0,675;0,051;-0,029;0,0161250;0,001;-7,031E-4;0,0;0,0497437;14,600;0,627;0,039;-0,010;0,0149625;9,375E-4;-2,344E-4;0,1;0,0502167
14,800;0,683;0,043;-0,010;0,0163125;0,001;-2,344E-4;0,1;0,0525208;14,800;0,636;0,035;0,010;0,0151875;8,438E-4;2,344E-4;0,0;0,0426331
15,000;0,693;0,047;0,020;0,0165375;0,001;4,687E-4;0,1;0,0520325;15,000;0,641;0,043;0,039;0,0153000;0,001;9,375E-4;0,0;0,0362091
15,200;0,702;0,051;0,010;0,0167625;0,001;2,344E-4;0,0;0,0429687;15,200;0,653;0,051;-0,010;0,0156000;0,001;-2,344E-4;0,0;0,0360413
15,400;0,713;0,051;-0,010;0,0170250;0,001;-2,344E-4;0,0;0,0385742;15,400;0,661;0,039;-0,010;0,0157875;9,375E-4;-2,344E-4;0,0;0,0351868
15,600;0,723;0,047;-0,020;0,0172500;0,001;-4,687E-4;0,0;0,0387878;15,600;0,669;0,047;0,039;0,0159750;0,001;9,375E-4;0,0;0,0346069
15,800;0,732;0,043;-0,029;0,0174750;0,001;-7,031E-4;0,0;0,0399780;15,800;0,680;0,055;5,204E-16;0,0162375;0,001;1,247E-17;0,0;0,0417938
16,000;0,740;0,035;-9,541E-16;0,0176625;8,438E-4;-2,277E-17;0,0;0,0406494;16,000;0,691;0,047;-0,029;0,0165000;0,001;-7,031E-4;0,0;0,0467682
16,200;0,746;0,043;0,049;0,0178125;0,001;0,001;0,0;0,0456848;16,200;0,699;0,043;-0,049;0,0166875;0,001;-0,001;0,0;0,0440216
16,400;0,757;0,055;0,020;0,0180750;0,001;4,688E-4;0,1;0,0726471;16,400;0,708;0,027;-0,079;0,0169125;6,562E-4;-0,002;0,0;0,0432892
16,600;0,768;0,051;-0,020;0,0183375;0,001;-4,687E-4;0,1;0,0816498;16,600;0,710;0,012;6,072E-16;0,0169500;2,812E-4;1,464E-17;0,0;0,0415497
16,800;0,778;0,047;0,000;0,0185625;0,001;0,000;0,1;0,0826874;16,800;0,713;0,027;0,088;0,0170250;6,562E-4;0,002;0,0;0,0375061
17,000;0,787;0,051;0,010;0,0187875;0,001;2,344E-4;0,1;0,0537720;17,000;0,721;0,047;0,069;0,0172125;0,001;0,002;0,0;0,0373840
17,200;0,798;0,051;-0,010;0,0190500;0,001;-2,344E-4;0,0;0,0424500;17,200;0,732;0,055;0,010;0,0174750;0,001;2,344E-4;0,0;0,0373840
17,400;0,807;0,047;-0,029;0,0192750;0,001;-7,031E-4;0,0;0,0405121;17,400;0,743;0,051;-0,020;0,0177375;0,001;-4,687E-4;0,0;0,0392303
